WBGeneID,intestine_dev_cluster
WBGene00012853,Embryonic
WBGene00012885,L1
WBGene00012932,Post-embryonic
WBGene00012968,L1
WBGene00012978,Post-embryonic
WBGene00013020,Embryonic
WBGene00013037,Post-embryonic
WBGene00013109,Post-embryonic
WBGene00013139,Adult
WBGene00013176,Post-embryonic
WBGene00013197,Embryonic
WBGene00013203,Embryonic
WBGene00013210,Post-embryonic
WBGene00013216,Post-embryonic
WBGene00013225,Embryonic
WBGene00013237,Adult
WBGene00013238,Adult
WBGene00013239,Adult
WBGene00013259,Embryonic
WBGene00013284,L1
WBGene00013308,Post-embryonic
WBGene00013317,Embryonic
WBGene00013358,Post-embryonic
WBGene00013406,Adult
WBGene00013497,Embryonic
WBGene00013532,Adult
WBGene00013550,Post-embryonic
WBGene00013567,Adult
WBGene00013577,L1
WBGene00013857,Adult
WBGene00013866,L1
WBGene00013904,Post-embryonic
WBGene00013906,Embryonic
WBGene00013968,Post-embryonic
WBGene00013985,Embryonic
WBGene00013997,Post-embryonic
WBGene00014003,Post-embryonic
WBGene00014004,Embryonic
WBGene00014022,Adult
WBGene00014057,Post-embryonic
WBGene00014058,L1
WBGene00014079,Embryonic
WBGene00014089,Embryonic
WBGene00014120,Adult
WBGene00014141,Embryonic
WBGene00014172,Adult
WBGene00014177,Adult
WBGene00014202,L1
WBGene00014251,Post-embryonic
WBGene00014252,Post-embryonic
WBGene00014253,Post-embryonic
WBGene00021160,Adult
WBGene00021170,Adult
WBGene00021313,Embryonic
WBGene00021322,Post-embryonic
WBGene00021323,Embryonic
WBGene00021325,Post-embryonic
WBGene00021331,Embryonic
WBGene00021334,Embryonic
WBGene00021352,Adult
WBGene00021355,Post-embryonic
WBGene00021396,Embryonic
WBGene00021427,Embryonic
WBGene00021503,Post-embryonic
WBGene00021518,Post-embryonic
WBGene00021549,Embryonic
WBGene00021638,Post-embryonic
WBGene00021644,Embryonic
WBGene00021647,Post-embryonic
WBGene00021648,Embryonic
WBGene00021756,Embryonic
WBGene00021768,Post-embryonic
WBGene00021817,Embryonic
WBGene00021830,Post-embryonic
WBGene00021845,Adult
WBGene00021852,L1
WBGene00021870,Embryonic
WBGene00021879,Post-embryonic
WBGene00021883,Post-embryonic
WBGene00021906,Embryonic
WBGene00021934,L1
WBGene00022045,Embryonic
WBGene00022130,Embryonic
WBGene00022253,Adult
WBGene00022276,Post-embryonic
WBGene00022306,Embryonic
WBGene00022369,Adult
WBGene00022515,Embryonic
WBGene00022562,Post-embryonic
WBGene00022597,Post-embryonic
WBGene00022598,Adult
WBGene00022620,Adult
WBGene00022642,Post-embryonic
WBGene00022644,Post-embryonic
WBGene00022666,Embryonic
WBGene00022673,Adult
WBGene00022678,Embryonic
WBGene00022722,Post-embryonic
WBGene00022759,Adult
WBGene00022765,Post-embryonic
WBGene00022766,Post-embryonic
WBGene00022787,Adult
WBGene00022793,Post-embryonic
WBGene00022794,Adult
WBGene00022830,Adult
WBGene00022864,Embryonic
WBGene00044468,Post-embryonic
WBGene00044488,Post-embryonic
WBGene00044745,Embryonic
WBGene00045397,Embryonic
WBGene00194917,Embryonic
