WBGeneID,intestine_dev_cluster
WBGene00016632,Adult
WBGene00016644,Post-embryonic
WBGene00016653,Adult
WBGene00016721,L1
WBGene00016738,L1
WBGene00016838,Embryonic
WBGene00023491,Embryonic
WBGene00043156,Embryonic
WBGene00044291,Embryonic
WBGene00044326,Adult
WBGene00044608,Embryonic
WBGene00045461,Embryonic
WBGene00050944,Embryonic
WBGene00000172,Embryonic
WBGene00000219,Post-embryonic
WBGene00000248,Embryonic
WBGene00000263,Embryonic
WBGene00000266,Embryonic
WBGene00000298,Post-embryonic
WBGene00000302,Embryonic
WBGene00000381,L1
WBGene00000397,Embryonic
WBGene00000673,Post-embryonic
WBGene00000781,Post-embryonic
WBGene00000899,Embryonic
WBGene00000988,Post-embryonic
WBGene00001057,Post-embryonic
WBGene00001240,Post-embryonic
WBGene00001243,Post-embryonic
WBGene00001244,Post-embryonic
WBGene00001303,Adult
WBGene00001331,Embryonic
WBGene00001371,Adult
WBGene00001426,Embryonic
WBGene00001498,Post-embryonic
WBGene00001500,L1
WBGene00001506,Embryonic
WBGene00001754,Post-embryonic
WBGene00001851,L1
WBGene00001983,Adult
WBGene00002055,Post-embryonic
WBGene00002075,Adult
WBGene00002124,Embryonic
WBGene00002169,Adult
WBGene00002241,Adult
WBGene00002255,Embryonic
WBGene00002632,Embryonic
WBGene00003235,Embryonic
WBGene00003607,Embryonic
WBGene00003958,Embryonic
WBGene00003990,Embryonic
WBGene00004020,Post-embryonic
WBGene00004056,Embryonic
WBGene00004096,L1
WBGene00004186,Post-embryonic
WBGene00004204,Embryonic
WBGene00004205,Adult
WBGene00004258,Post-embryonic
WBGene00004317,Embryonic
WBGene00004337,Adult
WBGene00004423,L1
WBGene00004447,L1
WBGene00004478,L1
WBGene00004492,L1
WBGene00004495,Post-embryonic
WBGene00004501,Post-embryonic
WBGene00004704,Adult
WBGene00004755,Embryonic
WBGene00004788,Embryonic
WBGene00004898,Post-embryonic
WBGene00004917,Embryonic
WBGene00004931,Post-embryonic
WBGene00005003,Post-embryonic
WBGene00006407,Embryonic
WBGene00006432,Post-embryonic
WBGene00006517,Embryonic
WBGene00006574,Adult
WBGene00006578,Embryonic
WBGene00006626,Post-embryonic
WBGene00006715,Adult
WBGene00006730,Adult
WBGene00006732,Adult
WBGene00006817,Adult
WBGene00006831,Embryonic
WBGene00008237,Embryonic
WBGene00008255,Embryonic
WBGene00008258,Embryonic
WBGene00008262,Post-embryonic
WBGene00008263,Embryonic
WBGene00008277,Embryonic
WBGene00008338,Adult
WBGene00008341,Embryonic
WBGene00008354,Adult
WBGene00008408,Post-embryonic
WBGene00008415,L1
WBGene00008436,Post-embryonic
WBGene00008438,L1
WBGene00008477,Embryonic
WBGene00008492,Post-embryonic
WBGene00008499,Post-embryonic
WBGene00008506,Post-embryonic
WBGene00008519,Embryonic
WBGene00008528,Embryonic
WBGene00008542,Embryonic
WBGene00008563,Embryonic
WBGene00008564,Post-embryonic
WBGene00008567,Post-embryonic
WBGene00008582,Embryonic
WBGene00008584,Post-embryonic
WBGene00008642,Adult
WBGene00008645,Adult
WBGene00008681,Embryonic
WBGene00008687,Embryonic
WBGene00008742,Embryonic
WBGene00008765,Post-embryonic
WBGene00008768,Post-embryonic
WBGene00008803,L1
WBGene00008865,Embryonic
WBGene00008880,Embryonic
WBGene00008891,L1
WBGene00008905,Post-embryonic
WBGene00008915,L1
WBGene00008917,Embryonic
WBGene00008948,Adult
WBGene00008973,Post-embryonic
WBGene00008974,Embryonic
WBGene00008975,Embryonic
WBGene00009004,Embryonic
WBGene00009006,Adult
WBGene00009012,Adult
WBGene00009057,Post-embryonic
WBGene00009119,Post-embryonic
WBGene00009162,Embryonic
WBGene00009165,Embryonic
WBGene00009187,Post-embryonic
WBGene00009189,Post-embryonic
WBGene00009211,Post-embryonic
WBGene00009212,Embryonic
WBGene00009237,Post-embryonic
WBGene00009262,Embryonic
WBGene00009272,Adult
WBGene00009277,Embryonic
WBGene00009347,Post-embryonic
WBGene00009367,Embryonic
WBGene00009369,Post-embryonic
WBGene00009393,Post-embryonic
WBGene00009396,Post-embryonic
WBGene00009397,Embryonic
WBGene00009429,Post-embryonic
WBGene00009430,Post-embryonic
WBGene00009434,Post-embryonic
WBGene00009436,Post-embryonic
WBGene00009448,Adult
WBGene00009450,Post-embryonic
WBGene00009454,Post-embryonic
WBGene00009482,Embryonic
WBGene00009503,Embryonic
WBGene00009518,Post-embryonic
WBGene00009531,Post-embryonic
WBGene00009565,Adult
WBGene00009620,L1
WBGene00009627,Adult
WBGene00016844,Adult
WBGene00016871,Embryonic
WBGene00016892,Embryonic
WBGene00016893,Adult
WBGene00016912,Post-embryonic
WBGene00016913,Embryonic
WBGene00016990,Adult
WBGene00017004,Embryonic
WBGene00017023,Adult
WBGene00017045,Embryonic
WBGene00017119,Adult
WBGene00017120,Embryonic
WBGene00017121,Embryonic
WBGene00017123,Embryonic
WBGene00017125,Adult
WBGene00017162,Adult
WBGene00017163,Post-embryonic
WBGene00017166,Post-embryonic
WBGene00017184,Embryonic
WBGene00017210,L1
WBGene00017238,Embryonic
WBGene00017240,Embryonic
WBGene00017244,Post-embryonic
WBGene00017269,Adult
WBGene00017273,Embryonic
WBGene00017286,Post-embryonic
WBGene00017289,Embryonic
WBGene00017291,L1
WBGene00017300,Adult
WBGene00017326,Embryonic
WBGene00017340,Post-embryonic
WBGene00017374,Embryonic
WBGene00017385,Embryonic
WBGene00017437,Embryonic
WBGene00017445,Embryonic
WBGene00017448,Embryonic
WBGene00017480,Post-embryonic
WBGene00017490,Post-embryonic
WBGene00017498,Post-embryonic
WBGene00017500,Post-embryonic
WBGene00017501,Post-embryonic
WBGene00017536,Embryonic
WBGene00017565,Post-embryonic
WBGene00017574,Embryonic
WBGene00017591,Post-embryonic
WBGene00017592,Post-embryonic
WBGene00017640,Embryonic
WBGene00017641,Adult
WBGene00017643,Adult
WBGene00017659,Embryonic
WBGene00017675,L1
WBGene00017678,Post-embryonic
WBGene00017688,Embryonic
WBGene00017719,Post-embryonic
WBGene00017727,Post-embryonic
WBGene00017734,Post-embryonic
WBGene00017735,Embryonic
WBGene00017742,Embryonic
WBGene00017765,Post-embryonic
WBGene00017775,Post-embryonic
WBGene00017780,Adult
WBGene00017789,Post-embryonic
WBGene00017825,Adult
WBGene00017830,Adult
WBGene00017874,Post-embryonic
WBGene00017901,L1
WBGene00017920,Embryonic
WBGene00017925,Adult
WBGene00017926,Post-embryonic
WBGene00017954,Embryonic
WBGene00017964,Post-embryonic
WBGene00017969,Embryonic
WBGene00017971,Embryonic
WBGene00017993,Embryonic
WBGene00017996,Adult
WBGene00017997,Adult
WBGene00017999,Embryonic
WBGene00018006,Adult
WBGene00018008,Adult
WBGene00018018,Embryonic
WBGene00018146,Post-embryonic
WBGene00018150,Embryonic
WBGene00018181,Adult
WBGene00018195,Post-embryonic
WBGene00018242,Embryonic
WBGene00018286,Adult
WBGene00018290,Adult
WBGene00018339,Post-embryonic
WBGene00018341,Post-embryonic
WBGene00018342,Post-embryonic
WBGene00044071,Embryonic
WBGene00044666,Embryonic
WBGene00045245,Adult
WBGene00077701,Post-embryonic
WBGene00000018,Embryonic
WBGene00000079,Embryonic
WBGene00000098,Adult
WBGene00000107,Post-embryonic
WBGene00000122,Embryonic
WBGene00000164,Embryonic
WBGene00000195,Embryonic
WBGene00000222,Embryonic
WBGene00000236,Adult
WBGene00000282,Post-embryonic
WBGene00000535,Adult
WBGene00000774,Embryonic
WBGene00000784,Post-embryonic
WBGene00000789,L1
WBGene00000904,Embryonic
WBGene00000977,Post-embryonic
WBGene00000991,Post-embryonic
WBGene00000996,Adult
WBGene00001032,Embryonic
WBGene00001073,Embryonic
WBGene00001149,Post-embryonic
WBGene00001153,Embryonic
WBGene00001251,Embryonic
WBGene00001476,L1
WBGene00001523,Embryonic
WBGene00001572,Embryonic
WBGene00001584,Adult
WBGene00001585,Adult
WBGene00001681,Embryonic
WBGene00001753,L1
WBGene00001784,L1
WBGene00001794,Post-embryonic
WBGene00001812,Post-embryonic
WBGene00001990,Embryonic
WBGene00001996,Embryonic
WBGene00002021,Post-embryonic
WBGene00002148,Adult
WBGene00002271,Post-embryonic
WBGene00002344,Embryonic
WBGene00003093,Post-embryonic
WBGene00003148,Post-embryonic
WBGene00003374,Embryonic
WBGene00003391,Adult
WBGene00003473,L1
WBGene00003577,Adult
WBGene00003602,Embryonic
WBGene00003619,Embryonic
WBGene00003646,Embryonic
WBGene00003750,L1
WBGene00003829,Post-embryonic
WBGene00003844,Embryonic
WBGene00003877,Embryonic
WBGene00003986,Embryonic
WBGene00004078,Embryonic
WBGene00004305,Adult
WBGene00004312,Adult
WBGene00004369,Embryonic
WBGene00004439,Post-embryonic
WBGene00004470,Post-embryonic
WBGene00004768,Adult
WBGene00004798,Adult
WBGene00004807,Embryonic
WBGene00004809,L1
WBGene00004955,Adult
WBGene00004999,Post-embryonic
WBGene00005655,Embryonic
WBGene00006059,Embryonic
WBGene00006373,Embryonic
WBGene00006392,Embryonic
WBGene00006402,Adult
WBGene00006530,Post-embryonic
WBGene00006726,Adult
WBGene00006874,Embryonic
WBGene00006890,L1
WBGene00006925,Adult
WBGene00006948,Embryonic
WBGene00006978,Embryonic
WBGene00007008,Adult
WBGene00009674,Embryonic
WBGene00009691,L1
WBGene00009692,L1
WBGene00009722,L1
WBGene00009741,Embryonic
WBGene00009745,Embryonic
WBGene00009778,Post-embryonic
WBGene00009818,Embryonic
WBGene00009882,Embryonic
WBGene00009925,Embryonic
WBGene00009945,Embryonic
WBGene00009947,L1
WBGene00009952,Post-embryonic
WBGene00009966,Adult
WBGene00009973,Embryonic
WBGene00009980,Post-embryonic
WBGene00010028,Embryonic
WBGene00010037,Embryonic
WBGene00010041,Post-embryonic
WBGene00010042,Adult
WBGene00010049,Post-embryonic
WBGene00010052,Post-embryonic
WBGene00010063,L1
WBGene00010086,Embryonic
WBGene00010113,Embryonic
WBGene00010115,Embryonic
WBGene00010123,L1
WBGene00010124,Post-embryonic
WBGene00010130,Embryonic
WBGene00010189,Embryonic
WBGene00010198,Adult
WBGene00010232,Adult
WBGene00010238,Post-embryonic
WBGene00010274,Embryonic
WBGene00010280,Post-embryonic
WBGene00010317,Post-embryonic
WBGene00010325,Adult
WBGene00010328,Embryonic
WBGene00010336,Embryonic
WBGene00010337,Embryonic
WBGene00010374,Embryonic
WBGene00010399,Post-embryonic
WBGene00010407,L1
WBGene00010440,Post-embryonic
WBGene00010456,Post-embryonic
WBGene00010471,L1
WBGene00010496,Embryonic
WBGene00010500,Embryonic
WBGene00010502,Adult
WBGene00010567,Embryonic
WBGene00010572,Embryonic
WBGene00010579,Embryonic
WBGene00010583,Adult
WBGene00010597,Post-embryonic
WBGene00010629,Adult
WBGene00010631,Adult
WBGene00010665,Adult
WBGene00010671,Embryonic
WBGene00010697,Adult
WBGene00010780,Post-embryonic
WBGene00010793,Post-embryonic
WBGene00010813,Embryonic
WBGene00010870,Embryonic
WBGene00010879,L1
WBGene00010890,Post-embryonic
WBGene00010897,Post-embryonic
WBGene00010901,Post-embryonic
WBGene00010904,Adult
WBGene00010924,Embryonic
WBGene00010993,Embryonic
WBGene00011015,Post-embryonic
WBGene00011060,L1
WBGene00011064,Post-embryonic
WBGene00011073,Embryonic
WBGene00018386,Embryonic
WBGene00018393,Embryonic
WBGene00018395,Post-embryonic
WBGene00018409,Adult
WBGene00018422,Embryonic
WBGene00018426,Post-embryonic
WBGene00018431,Adult
WBGene00018467,Embryonic
WBGene00018475,Adult
WBGene00018483,Adult
WBGene00018488,Post-embryonic
WBGene00018491,Post-embryonic
WBGene00018517,Embryonic
WBGene00018520,Embryonic
WBGene00018532,Embryonic
WBGene00018604,Post-embryonic
WBGene00018616,Post-embryonic
WBGene00018634,Embryonic
WBGene00018635,Post-embryonic
WBGene00018645,Post-embryonic
WBGene00018704,Embryonic
WBGene00018724,Post-embryonic
WBGene00018725,Embryonic
WBGene00018730,L1
WBGene00018731,Post-embryonic
WBGene00018758,Embryonic
WBGene00018760,L1
WBGene00018763,Embryonic
WBGene00018765,Embryonic
WBGene00018793,Adult
WBGene00018823,Post-embryonic
WBGene00018864,Adult
WBGene00018897,Adult
WBGene00018911,Post-embryonic
WBGene00018935,Adult
WBGene00018951,Post-embryonic
WBGene00018958,Embryonic
