wikigene_name,ELT2_cluster_name,rna_cluster_name
cpt-5,Not_Bound,Larval
hach-1,Not_Bound,Larval
F09F7.5,Increasing,Embryonic
F09F7.5,Increasing,Embryonic
nmad-1,Increasing,Embryonic
nmad-1,L3_High,Embryonic
F09F9.2,Not_Bound,Embryonic
clec-160,Not_Bound,Larval
mps-4,Not_Bound,Embryonic
F10A3.17,Not_Bound,Embryonic
fbxa-18,Not_Bound,Larval
rrf-3,Not_Bound,Adult
dmd-5,Increasing,Embryonic
ifb-2,Larval,Larval
ifb-2,Larval,Larval
ifb-2,Larval,Larval
ifb-2,Increasing,Larval
F10C1.8,Increasing,Embryonic
F10C1.9,Increasing,Larval
F10C1.9,Larval,Larval
kup-1,L3_High,Adult
mat-3,Not_Bound,Adult
F10D11.5,Not_Bound,Adult
F10D2.10,Not_Bound,Embryonic
fat-7,Not_Bound,Adult
F10D7.3,Increasing,Larval
rpl-33,L3_High,Embryonic
F10E9.12,Increasing,Larval
F10E9.5,Not_Bound,Adult
F10G2.1,Not_Bound,Larval
clec-7,Not_Bound,Larval
ttr-41,Increasing,Embryonic
tsn-1,Increasing,Larval
unc-85,Increasing,Adult
ncs-2,Not_Bound,Embryonic
acs-14,Larval,Larval
acs-14,Increasing,Larval
glc-1,Increasing,Larval
stdh-2,Not_Bound,Larval
scrm-4,Increasing,Embryonic
F11C1.1,Not_Bound,Embryonic
scav-4,Increasing,Larval
scav-4,Increasing,Larval
scav-4,Larval,Larval
vwa-8,Increasing,Adult
vwa-8,Larval,Adult
vwa-8,Larval,Adult
F11D11.3,Not_Bound,Embryonic
gba-3,Not_Changing,Embryonic
F11E6.3,Not_Bound,Larval
elo-2,Increasing,Larval
F11E6.6,Increasing,Larval
F11E6.9,Not_Bound,Embryonic
F11F1.1,Not_Bound,Larval
ttr-52,Not_Bound,Embryonic
gst-6,Increasing,Larval
F11G11.5,Not_Changing,Embryonic
rfl-1,L3_High,Adult
cyk-1,Increasing,Embryonic
F12A10.1,Not_Bound,Larval
slc-17.6,Increasing,Larval
slc-17.6,Increasing,Larval
slc-17.6,Increasing,Larval
slc-17.6,Increasing,Larval
F13A7.11,Increasing,Embryonic
tir-1,Larval,Embryonic
tir-1,Larval,Embryonic
tir-1,Larval,Embryonic
tir-1,Larval,Embryonic
tir-1,Increasing,Embryonic
tir-1,Increasing,Embryonic
tir-1,L3_High,Embryonic
tir-1,Increasing,Embryonic
tir-1,L3_High,Embryonic
tir-1,Not_Changing,Embryonic
F13B12.2,Increasing,Embryonic
F13B6.2,Not_Bound,Larval
F13C5.2,L3_High,Embryonic
acp-5,Increasing,Embryonic
F13D11.4,L3_High,Embryonic
F13D11.4,Larval,Embryonic
F13D11.4,Larval,Embryonic
F13D12.8,Increasing,Embryonic
phf-31,Increasing,Adult
phf-31,Increasing,Adult
F13E9.13,L3_High,Larval
dmd-6,L3_High,Embryonic
dmd-6,L3_High,Embryonic
dmd-6,L3_High,Embryonic
dmd-6,Increasing,Embryonic
dmd-6,Larval,Embryonic
dmd-6,Increasing,Embryonic
dmd-6,L3_High,Embryonic
dmd-6,Increasing,Embryonic
F13G3.10,Increasing,Larval
F13G3.7,Not_Bound,Embryonic
bcl-11,Increasing,Embryonic
bcl-11,Increasing,Embryonic
bcl-11,Increasing,Embryonic
bcl-11,Larval,Embryonic
bcl-11,Increasing,Embryonic
F13H8.1,Increasing,Embryonic
F13H8.1,Larval,Embryonic
F13H8.11,Larval,Larval
nmgp-1,Larval,Embryonic
hxk-1,Increasing,Adult
hxk-1,Increasing,Adult
hxk-1,Increasing,Adult
rpoa-2,Not_Bound,Adult
F14B6.6,L3_High,Embryonic
sid-5,Increasing,Embryonic
sid-5,Increasing,Embryonic
sid-5,Increasing,Embryonic
F14B8.4,Not_Bound,Adult
F14B8.5,Increasing,Embryonic
F14B8.5,Larval,Embryonic
F14B8.6,Increasing,Embryonic
otpl-3,Larval,Embryonic
otpl-3,Increasing,Embryonic
lips-10,Increasing,Embryonic
mboa-7,Increasing,Adult
F14F3.5,Not_Bound,Larval
F14H3.12,Larval,Larval
drh-1,Increasing,Adult
drh-1,L3_High,Adult
drh-1,Increasing,Adult
F15B10.3,Not_Bound,Embryonic
far-3,Not_Bound,Embryonic
try-10,Increasing,Adult
try-10,Larval,Adult
pud-2.1,Increasing,Larval
pud-4,Increasing,Larval
pud-3,Larval,Larval
F15E6.3,Not_Bound,Embryonic
F15E6.6,Not_Bound,Larval
F15G9.1,L3_High,Embryonic
tag-314,Not_Bound,Adult
nhr-117,Larval,Embryonic
F16B4.4,Not_Bound,Larval
F16F9.4,Increasing,Embryonic
nhr-45,Increasing,Embryonic
nhr-45,L3_High,Embryonic
nhr-45,Increasing,Embryonic
clec-42,Larval,Embryonic
F16H6.7,Not_Bound,Larval
ceh-40,Embryo_Specific,Embryonic
F17A9.5,L3_High,Larval
F17B5.8,Not_Changing,Embryonic
F17C11.11,Larval,Larval
F17C11.11,Increasing,Larval
F17C11.13,Increasing,Larval
F17C11.4,Increasing,Embryonic
F17C11.6,Increasing,Embryonic
eef-1G,Not_Bound,Larval
F17E9.4,Not_Bound,Adult
F17H10.2,Not_Bound,Embryonic
snx-17,Increasing,Embryonic
snx-17,L3_High,Embryonic
F18A11.3,Not_Bound,Adult
nep-8,Increasing,Adult
papl-1,Not_Bound,Larval
F18E3.12,Not_Bound,Adult
F18E3.13,Not_Bound,Adult
ddo-2,Larval,Larval
pxmp-4,Increasing,Embryonic
F18F11.4,Not_Bound,Larval
F18H3.1,Increasing,Adult
F19B2.5,Increasing,Larval
F19B2.5,Larval,Larval
F19B2.5,Increasing,Larval
F19C6.5,L3_High,Embryonic
F19C6.5,Embryo_Specific,Embryonic
F19C7.1,Increasing,Larval
F19C7.1,Increasing,Larval
F19C7.2,Increasing,Larval
F19F10.3,Not_Bound,Larval
F19H6.6,Not_Bound,Larval
tps-2,Larval,Embryonic
tps-2,Increasing,Embryonic
tps-2,Increasing,Embryonic
tps-2,Increasing,Embryonic
tps-2,Increasing,Embryonic
txt-17,Not_Bound,Embryonic
F20B10.3,Not_Bound,Embryonic
klp-11,Increasing,Embryonic
klp-11,Larval,Embryonic
klp-11,Not_Changing,Embryonic
cdc-50.B,Not_Bound,Embryonic
F20D1.1,L3_High,Larval
F20D1.3,L3_High,Embryonic
slc-25A18.1,Not_Bound,Embryonic
F20D6.11,Increasing,Embryonic
F20D6.5,Larval,Larval
F20E11.17,Not_Bound,Embryonic
F20G2.5,Larval,Embryonic
F20H11.1,L3_High,Adult
F21A3.2,Not_Bound,Larval
F21A9.1,Increasing,Embryonic
F21A9.2,Increasing,Embryonic
F21C10.10,Increasing,Adult
F21C10.10,Increasing,Adult
F21C10.11,Not_Bound,Larval
hint-1,Not_Bound,Larval
pfd-6,Increasing,Embryonic
F21D5.1,L3_High,Adult
F21D5.3,Increasing,Larval
F21D5.3,Increasing,Larval
mrps-33,Not_Bound,Embryonic
ttr-37,Larval,Embryonic
ttr-37,Larval,Embryonic
ttr-37,Larval,Embryonic
ttr-37,Increasing,Embryonic
F21F3.6,Increasing,Embryonic
F21F3.6,Increasing,Embryonic
F21F3.6,Increasing,Embryonic
F21F3.6,Increasing,Embryonic
slc-17.5,Larval,Larval
slc-17.5,Larval,Larval
slc-17.5,Larval,Larval
asp-5,Increasing,Larval
asp-5,Larval,Larval
asp-5,Increasing,Larval
asp-12,Larval,Larval
asp-6,Increasing,Larval
asp-6,Increasing,Larval
F21G4.1,Increasing,Larval
mrp-4,Not_Bound,Adult
F21H12.7,Not_Bound,Embryonic
gst-22,Increasing,Larval
ets-4,Increasing,Embryonic
ets-4,Increasing,Embryonic
ets-4,Increasing,Embryonic
ets-4,Larval,Embryonic
evl-20,Not_Bound,Embryonic
dnj-10,L3_High,Adult
F22B7.9,Increasing,Adult
F22B7.9,Increasing,Adult
F22B7.9,L3_High,Adult
cth-1,Not_Bound,Embryonic
F22B8.7,L3_High,Larval
gly-19,Increasing,Embryonic
nars-1,Increasing,Larval
nars-1,L3_High,Larval
nars-1,Increasing,Larval
nduf-6,Not_Bound,Larval
cept-1,Increasing,Larval
chw-1,Not_Bound,Embryonic
F22E5.1,Not_Bound,Embryonic
F22E5.6,Not_Bound,Embryonic
F22F7.7,Increasing,Embryonic
F22F7.7,L3_High,Embryonic
F22F7.7,Increasing,Embryonic
pals-14,Increasing,Larval
F22H10.2,L3_High,Larval
F22H10.2,Increasing,Larval
F22H10.3,Increasing,Larval
F22H10.3,Increasing,Larval
F23B12.4,Not_Bound,Larval
pcp-3,Increasing,Embryonic
F23C8.5,L3_High,Larval
jmjd-3.2,Not_Bound,Embryonic
F23H11.5,Increasing,Embryonic
crls-1,Not_Bound,Larval
snb-2,L3_High,Larval
F23H12.3,Increasing,Embryonic
F23H12.3,Larval,Embryonic
F25A2.1,Larval,Larval
gcst-1,L3_High,Larval
F25B4.4,Larval,Embryonic
F25B4.7,Increasing,Adult
F25B4.8,Increasing,Embryonic
F25B4.8,Increasing,Embryonic
F25B4.8,Increasing,Embryonic
F25B4.8,Increasing,Embryonic
clec-1,Not_Bound,Larval
F25B5.3,Increasing,Larval
F25B5.3,Increasing,Larval
F25B5.5,Increasing,Adult
F25B5.6,Larval,Adult
F25B5.6,Increasing,Adult
amx-3,Not_Bound,Embryonic
cup-2,Not_Bound,Adult
F25E2.2,Increasing,Adult
F25E2.3,Larval,Embryonic
ifd-2,Larval,Embryonic
ifd-2,Increasing,Embryonic
F25E5.8,Larval,Larval
slc-17.8,Not_Bound,Embryonic
tli-1,L3_High,Embryonic
tct-1,Not_Bound,Larval
F25H2.12,Increasing,Larval
ndk-1,Increasing,Larval
pas-5,Not_Bound,Larval
lim-9,Larval,Embryonic
F25H8.1,L3_High,Adult
F25H8.1,L3_High,Adult
frm-10,Increasing,Adult
frm-10,Larval,Adult
F25H9.6,Increasing,Adult
F25H9.7,Increasing,Adult
F26A3.4,Increasing,Larval
F26A3.4,Larval,Larval
F26A3.4,Increasing,Larval
F26A3.4,Increasing,Larval
F26A3.4,L3_High,Larval
F26A3.4,Increasing,Larval
F26B1.1,Not_Bound,Embryonic
F26C11.1,Increasing,Larval
F26C11.1,L3_High,Larval
lhfp-4,Not_Bound,Embryonic
let-413,Increasing,Embryonic
F26D11.12,Larval,Larval
F26D11.2,Not_Bound,Embryonic
pals-34,Increasing,Embryonic
gpx-1,Increasing,Embryonic
F26E4.4,Increasing,Adult
cox-7C,Not_Bound,Larval
cox-5B,L3_High,Larval
cox-5B,Increasing,Larval
rpb-8,Not_Changing,Adult
F26F4.2,Not_Bound,Adult
F26F4.6,Not_Bound,Embryonic
F26F4.9,Not_Bound,Adult
F26G1.10,Larval,Embryonic
F26G1.11,Larval,Embryonic
kbp-3,Not_Bound,Adult
exl-1,Increasing,Adult
uggt-2,Increasing,Adult
uggt-2,Increasing,Adult
spp-18,Larval,Larval
F27D4.1,L3_High,Larval
F27D9.2,Not_Bound,Larval
asah-2,Not_Bound,Larval
acdh-9,Larval,Larval
asp-13,L3_High,Larval
asp-13,Increasing,Larval
asp-13,Increasing,Larval
asp-13,Increasing,Larval
egl-44,Increasing,Embryonic
egl-44,Increasing,Embryonic
egl-44,Increasing,Embryonic
egl-44,Increasing,Embryonic
egl-44,Larval,Embryonic
egl-44,Increasing,Embryonic
F28B3.6,Not_Bound,Larval
F28B4.3,Increasing,Larval
F28B4.3,Larval,Larval
F28B4.3,Increasing,Larval
F28B4.3,Increasing,Larval
F28B4.3,Larval,Larval
F28B4.4,Not_Bound,Embryonic
F28C6.8,Not_Bound,Adult
atz-1,Increasing,Embryonic
F28E10.1,Not_Bound,Embryonic
F28F5.6,Increasing,Larval
F28F5.6,Larval,Larval
acs-2,Increasing,Larval
acs-2,Increasing,Larval
acs-2,Larval,Larval
lsm-5,Not_Bound,Larval
cyp-37B1,Increasing,Embryonic
F28H7.3,Increasing,Larval
F28H7.3,Increasing,Larval
F29A7.6,Larval,Adult
F29B9.1,Not_Bound,Adult
mrps-21,Not_Bound,Adult
F29B9.11,Larval,Larval
jmjd-1.2,L3_High,Embryonic
F29B9.5,Not_Bound,Embryonic
pqn-32,Not_Bound,Embryonic
cox-6C,L3_High,Larval
cox-6C,L3_High,Larval
hpo-34,Increasing,Larval
hpo-34,Increasing,Larval
hpo-34,Larval,Larval
hpo-34,Increasing,Larval
hpo-34,Increasing,Larval
aps-1,Not_Bound,Adult
calm-1,Not_Bound,Embryonic
F30A10.2,Not_Bound,Embryonic
F30A10.3,Increasing,Embryonic
stl-1,Not_Bound,Larval
gras-1,Increasing,Adult
F30F8.5,Not_Bound,Embryonic
npr-33,Not_Bound,Embryonic
exos-7,Not_Bound,Embryonic
F31D4.8,Increasing,Adult
F31D4.8,Not_Changing,Adult
F31E8.4,L3_High,Embryonic
nhr-180,Larval,Embryonic
fbxa-72,Not_Bound,Adult
F31F7.1,Increasing,Larval
F31F7.1,Increasing,Larval
aqp-1,Increasing,Larval
aqp-1,Increasing,Larval
aqp-1,Larval,Larval
prx-13,Larval,Embryonic
F32A5.8,Increasing,Embryonic
eva-1,Not_Bound,Embryonic
aex-5,Larval,Larval
aex-5,Increasing,Larval
cpz-1,Larval,Larval
cpz-1,Increasing,Larval
cpz-1,Larval,Larval
mccc-1,Not_Bound,Larval
sss-1,Not_Bound,Adult
F32D8.11,Increasing,Larval
F32D8.3,Not_Bound,Embryonic
F32D8.4,L3_High,Adult
F32D8.5,Not_Bound,Adult
sec-61.G,Increasing,Embryonic
F32E10.8,Not_Bound,Embryonic
cat-4,Larval,Larval
F32H5.1,Larval,Larval
let-858,L3_High,Adult
F33A8.10,Not_Bound,Embryonic
dhhc-3,L3_High,Adult
dhhc-3,Larval,Adult
gpaa-1,Increasing,Adult
nhr-8,Increasing,Embryonic
mrpl-1,L3_High,Adult
F33H2.3,L3_High,Adult
F33H2.6,Increasing,Larval
F34D10.4,Not_Bound,Adult
F35B12.10,Increasing,Embryonic
F35B12.10,Increasing,Embryonic
F35B12.10,Larval,Embryonic
dhs-20,Increasing,Larval
nlp-24,Not_Bound,Embryonic
clec-62,Increasing,Larval
clec-63,Increasing,Larval
clec-63,Larval,Larval
clec-64,Increasing,Larval
clec-65,Increasing,Larval
clec-66,Increasing,Larval
sek-4,Increasing,Embryonic
F35C8.5,Increasing,Larval
F35C8.5,Larval,Larval
pfn-2,Increasing,Embryonic
pfn-2,Increasing,Embryonic
F35D11.3,L3_High,Larval
irg-5,Increasing,Larval
F35E12.6,Larval,Larval
F35E12.6,Larval,Larval
dct-17,Increasing,Larval
cld-9,Increasing,Embryonic
F35E12.9,Increasing,Embryonic
F35E12.9,Increasing,Embryonic
cdr-1,L3_High,Embryonic
nhr-108,L3_High,Embryonic
gst-38,Larval,Embryonic
F35F11.2,Not_Bound,Adult
erh-2,Not_Bound,Adult
F35G12.12,Not_Bound,Larval
F35G12.7,Not_Bound,Adult
marb-1,Increasing,Larval
F35H10.3,Not_Bound,Embryonic
F35H10.6,Not_Bound,Adult
zfp-2,L3_High,Adult
exc-7,Not_Bound,Embryonic
F36A2.2,Not_Bound,Adult
F36A2.3,Not_Bound,Larval
F36A2.7,L3_High,Adult
phip-1,Not_Bound,Larval
F36A2.9,Not_Bound,Adult
ttr-20,Not_Bound,Embryonic
F36D1.7,Not_Bound,Larval
cpr-2,Not_Bound,Embryonic
F36F2.1,Not_Bound,Embryonic
F36F2.7,Not_Bound,Embryonic
F36G3.2,Larval,Larval
F36G3.2,L3_High,Larval
oac-20,Larval,Adult
fkb-1,L3_High,Embryonic
hrg-6,Increasing,Embryonic
hrg-4,Not_Bound,Larval
alh-3,Increasing,Embryonic
alh-3,Embryo_Specific,Embryonic
alh-3,L3_High,Embryonic
nlp-47,Not_Bound,Embryonic
gst-24,Not_Bound,Embryonic
F37B12.3,Not_Bound,Adult
ifc-1,Larval,Larval
ifc-1,Larval,Larval
F37C12.10,Not_Bound,Larval
rps-21,Not_Bound,Larval
epg-4,Increasing,Embryonic
rpl-36,Not_Bound,Embryonic
rps-14,Not_Bound,Larval
F37C4.6,Increasing,Larval
F37C4.6,Increasing,Larval
bigr-1,Increasing,Embryonic
bigr-1,L3_High,Embryonic
bigr-1,Increasing,Embryonic
F37H8.5,Not_Bound,Larval
clec-165,Larval,Larval
clec-169,Larval,Larval
clec-167,Larval,Embryonic
clec-166,Increasing,Larval
F38A1.6,Not_Bound,Embryonic
F38A1.8,L3_High,Adult
F38A1.9,Not_Bound,Larval
sup-36,Not_Bound,Embryonic
pha-4,Increasing,Embryonic
pha-4,L3_High,Embryonic
pha-4,Larval,Embryonic
pha-4,Embryo_Specific,Embryonic
hif-1,Increasing,Embryonic
hif-1,Increasing,Embryonic
hif-1,Increasing,Embryonic
F38B2.4,L3_High,Larval
F38B6.4,Increasing,Larval
F38B7.3,L3_High,Adult
mpdu-1,L3_High,Adult
F39B2.3,Not_Bound,Adult
rps-26,L3_High,Larval
btb-17,Increasing,Larval
btb-16,Larval,Larval
ugt-61,L3_High,Larval
F39G3.2,L3_High,Embryonic
F39G3.5,Not_Bound,Embryonic
prx-6,L3_High,Embryonic
prx-6,Increasing,Embryonic
pbs-7,Not_Bound,Larval
F40A3.1,Increasing,Embryonic
F40A3.1,Larval,Embryonic
F40A3.1,Increasing,Embryonic
F40D4.12,Increasing,Larval
mage-1,Not_Bound,Larval
F40F11.4,Not_Bound,Adult
cbp-3,Larval,Larval
cbp-3,Larval,Larval
cbp-3,Increasing,Larval
lbp-2,Not_Bound,Larval
lbp-3,Increasing,Embryonic
irg-7,Larval,Larval
irg-7,Increasing,Larval
irg-7,Increasing,Larval
rps-9,L3_High,Embryonic
F40F8.4,Not_Bound,Larval
pqm-1,Increasing,Embryonic
pqm-1,Increasing,Embryonic
F40F9.10,Increasing,Embryonic
F40F9.10,Increasing,Embryonic
F40F9.3,Not_Bound,Adult
aqp-4,Increasing,Embryonic
aqp-4,Increasing,Embryonic
aqp-4,Increasing,Embryonic
sec-20,Increasing,Adult
F40G9.5,Increasing,Embryonic
F40G9.5,L3_High,Embryonic
F40G9.6,Not_Changing,Embryonic
F40H6.1,Not_Bound,Adult
F41B4.3,Not_Bound,Embryonic
acs-11,Increasing,Larval
acs-11,Not_Changing,Larval
acs-11,Increasing,Larval
F41C6.7,Increasing,Embryonic
F41C6.7,Increasing,Embryonic
wrk-1,L3_High,Embryonic
wrk-1,Increasing,Embryonic
F41E6.5,L3_High,Adult
vps-60,Increasing,Adult
fipr-21,Not_Bound,Larval
cnc-8,Not_Bound,Larval
F41F3.3,Not_Bound,Embryonic
F41G3.6,Not_Bound,Adult
elo-5,Larval,Larval
elo-6,Increasing,Larval
F42A10.6,Larval,Larval
F42A10.7,Increasing,Larval
F42A10.7,Larval,Larval
F42A10.9,Increasing,Larval
F42A10.9,Increasing,Larval
F42A10.9,L3_High,Larval
sdhb-1,Not_Bound,Larval
F42A9.6,Not_Bound,Adult
ifo-1,L3_High,Embryonic
ifo-1,Increasing,Embryonic
ifo-1,Increasing,Embryonic
tatn-1,Increasing,Larval
tatn-1,L3_High,Larval
tni-1,Not_Bound,Embryonic
F42F12.3,Increasing,Larval
F42G2.2,Increasing,Larval
fbxa-182,L3_High,Adult
fbxa-182,Larval,Adult
fbxa-4,Larval,Larval
fbxa-4,Increasing,Larval
fbxa-4,Increasing,Larval
F42G4.5,Increasing,Larval
F42G4.5,Larval,Larval
F42G4.5,Larval,Larval
sph-1,Increasing,Embryonic
sph-1,L3_High,Embryonic
alh-11,L3_High,Larval
F42H10.2,Not_Bound,Adult
tag-343,Larval,Embryonic
tag-343,Larval,Embryonic
tag-343,Larval,Embryonic
tag-343,Increasing,Embryonic
tag-343,Larval,Embryonic
tag-343,Larval,Embryonic
tag-343,Increasing,Embryonic
zhit-2,Not_Bound,Adult
nhr-20,Increasing,Embryonic
F43C11.7,Increasing,Larval
F43C11.7,Larval,Larval
F43C9.1,Larval,Larval
F43C9.1,Increasing,Larval
F43C9.1,Increasing,Larval
ccnk-1,Not_Bound,Adult
sip-1,L3_High,Adult
msra-1,Increasing,Embryonic
mtch-1,L3_High,Larval
hsp-4,Increasing,Adult
hsp-4,Larval,Adult
slc-25A42,Not_Bound,Embryonic
cpn-1,Not_Bound,Larval
ech-3,Larval,Embryonic
sptl-2,Larval,Larval
sptl-2,Increasing,Larval
sptl-2,Larval,Larval
sptl-2,Larval,Larval
tag-153,Not_Bound,Adult
F44A2.5,Not_Bound,Embryonic
F44B9.10,Not_Bound,Embryonic
cpr-4,Increasing,Larval
cpr-4,Increasing,Larval
cpr-4,Increasing,Larval
nhr-96,Not_Bound,Embryonic
nhr-133,L3_High,Embryonic
F44D12.2,Not_Bound,Embryonic
F44E2.4,Not_Bound,Embryonic
F44E2.6,Not_Bound,Embryonic
F44E2.9,Increasing,Embryonic
F44E5.4,Increasing,Embryonic
F44E5.5,Increasing,Embryonic
F44E5.5,Increasing,Embryonic
pgph-2,Increasing,Adult
pgph-2,Increasing,Adult
pgph-2,Larval,Adult
F44E7.9,L3_High,Adult
F44G3.10,Not_Bound,Embryonic
argk-1,Not_Bound,Larval
skr-3,Increasing,Embryonic
F44G4.1,Not_Bound,Embryonic
btb-9,Increasing,Larval
F45D3.2,Increasing,Larval
F45D3.3,Not_Bound,Larval
F45D3.4,Not_Bound,Larval
F45E1.4,Increasing,Larval
sdpn-1,Increasing,Embryonic
sdpn-1,Increasing,Embryonic
mrpl-14,L3_High,Larval
arf-1.1,Increasing,Adult
atf-6,Increasing,Embryonic
F45F2.11,L3_High,Adult
F45F2.9,Not_Bound,Adult
F45G2.10,Not_Bound,Adult
F45H10.2,Not_Bound,Embryonic
drr-1,Increasing,Embryonic
drr-1,Increasing,Embryonic
F45H10.5,Not_Bound,Embryonic
gei-1,Increasing,Embryonic
gei-1,Not_Changing,Embryonic
gei-1,L3_High,Embryonic
skr-1,L3_High,Embryonic
lipl-2,Larval,Larval
lipl-2,Increasing,Larval
F46C5.6,Not_Bound,Embryonic
F46C5.7,Not_Bound,Embryonic
rer-1,Not_Changing,Embryonic
rer-1,Larval,Embryonic
F46C8.1,Not_Bound,Embryonic
mdh-1,Increasing,Larval
F46E10.2,Not_Bound,Embryonic
ubh-1,Not_Bound,Embryonic
dpy-11,Increasing,Larval
F46F2.3,Not_Bound,Larval
F46G10.1,Larval,Larval
F46G10.1,Larval,Larval
F46G10.1,Increasing,Larval
F46G10.4,Increasing,Larval
ptr-24,Increasing,Larval
ptr-24,Larval,Larval
ptr-24,Increasing,Larval
ptr-24,Larval,Larval
mxl-3,Increasing,Larval
mxl-3,Increasing,Larval
mxl-3,Larval,Larval
mxl-3,Increasing,Larval
mxl-3,Larval,Larval
sir-2.2,Larval,Embryonic
sir-2.2,Increasing,Embryonic
twnk-1,Not_Bound,Embryonic
gakh-1,Increasing,Embryonic
acbp-3,L3_High,Embryonic
F47B7.1,Increasing,Embryonic
F47B7.1,Increasing,Embryonic
F47B8.8,Not_Bound,Larval
F47D12.3,Increasing,Embryonic
hmg-1.2,Larval,Embryonic
hmg-1.2,Increasing,Embryonic
F47D12.6,Not_Bound,Embryonic
smd-1,Larval,Adult
smd-1,L3_High,Adult
smd-1,Increasing,Adult
skr-5,Not_Bound,Larval
F48C1.5,Not_Bound,Adult
nlp-3,Not_Bound,Embryonic
F48D6.4,Increasing,Embryonic
F48D6.4,Increasing,Embryonic
F48D6.4,Larval,Embryonic
uggt-1,L3_High,Larval
lon-1,Not_Bound,Larval
arrd-24,Increasing,Embryonic
pals-31,L3_High,Embryonic
F48G7.5,Increasing,Embryonic
F48G7.8,Not_Bound,Larval
clec-31,Larval,Larval
clec-31,Increasing,Larval
clec-28,Not_Bound,Larval
clec-32,Not_Bound,Embryonic
F49C12.11,Not_Bound,Adult
F49C12.12,Not_Bound,Embryonic
vha-17,L3_High,Embryonic
F49C12.14,Increasing,Larval
F49C12.6,Not_Bound,Embryonic
F49C12.7,Increasing,Larval
F49C5.11,Not_Bound,Larval
cpn-4,Not_Bound,Larval
scl-2,Larval,Larval
scl-2,Increasing,Larval
F49E12.10,Increasing,Embryonic
F49E12.10,Increasing,Embryonic
dod-23,Not_Bound,Adult
efl-3,Larval,Embryonic
efl-3,L3_High,Embryonic
efl-3,Larval,Embryonic
drd-1,Larval,Larval
drd-1,Increasing,Larval
pigx-1,L3_High,Embryonic
pigx-1,L3_High,Embryonic
pigx-1,L3_High,Embryonic
nprl-2,Larval,Larval
drd-50,Increasing,Larval
drd-50,Increasing,Larval
F49F1.5,Larval,Larval
mul-1,Larval,Embryonic
mul-1,Larval,Embryonic
F49F1.7,Larval,Larval
F52A8.1,Not_Bound,Embryonic
kbrl-1,L3_High,Embryonic
kbrl-1,Larval,Embryonic
F52B11.2,Increasing,Embryonic
F52B5.2,Not_Bound,Adult
rpl-25.2,L3_High,Larval
tsen-54,Not_Bound,Adult
denn-4,Not_Bound,Embryonic
F52D1.2,Increasing,Embryonic
F52D1.2,Larval,Embryonic
pos-1,Increasing,Embryonic
F52E1.14,Larval,Larval
F52E1.5,Not_Bound,Embryonic
hsp-17,Increasing,Larval
hsp-17,Increasing,Larval
wrt-2,Larval,Embryonic
strl-1,Not_Bound,Adult
rsd-2,Not_Bound,Adult
F52H2.5,L3_High,Embryonic
dhcr-24,Not_Bound,Embryonic
bath-38,L3_High,Embryonic
ttc-36,Larval,Embryonic
F52H3.6,Increasing,Adult
nud-1,L3_High,Larval
dro-1,Not_Bound,Adult
F53A9.1,Increasing,Larval
kreg-1,Increasing,Embryonic
F53A9.6,Larval,Larval
F53A9.6,Increasing,Larval
F53A9.6,Increasing,Larval
F53A9.8,Larval,Larval
F53B1.2,Not_Bound,Embryonic
F53B2.8,Increasing,Larval
F53B3.5,Not_Bound,Embryonic
fipr-26,Not_Bound,Embryonic
isy-1,Increasing,Adult
fig-1,Not_Bound,Larval
F53C11.1,Larval,Adult
F53C11.3,Increasing,Embryonic
irg-3,Increasing,Larval
cutl-1,Not_Bound,Embryonic
F53F1.2,Larval,Larval
F53F1.3,Larval,Larval
F53F1.6,Larval,Larval
F53F10.2,Increasing,Larval
F53F10.2,Larval,Larval
mpc-2,L3_High,Embryonic
F53F4.16,Not_Bound,Embryonic
klf-2,Not_Bound,Embryonic
F53G12.9,Not_Bound,Embryonic
F53H8.3,L3_High,Larval
sms-2,Larval,Embryonic
sms-2,Increasing,Embryonic
sms-2,Increasing,Embryonic
dom-3,Not_Bound,Adult
F54C8.4,Increasing,Embryonic
F54C9.3,Increasing,Embryonic
F54C9.7,Not_Bound,Embryonic
F54D1.6,Increasing,Embryonic
F54D1.6,Larval,Embryonic
F54D1.6,Increasing,Embryonic
F54D1.6,Larval,Embryonic
fbxa-24,Increasing,Embryonic
sumv-2,Not_Bound,Adult
F54D5.2,Not_Bound,Adult
F54D5.3,Increasing,Larval
F54D5.4,Not_Bound,Larval
F54D5.7,Increasing,Larval
alh-1,Increasing,Larval
alh-1,Increasing,Larval
F54E2.1,Larval,Larval
rps-12,Not_Bound,Larval
rcan-1,Not_Bound,Embryonic
nep-17,Increasing,Embryonic
nep-17,Increasing,Embryonic
nep-17,Larval,Embryonic
nep-17,Larval,Embryonic
nep-17,Increasing,Embryonic
F54F2.7,Not_Bound,Embryonic
prx-19,Increasing,Embryonic
prx-19,L3_High,Embryonic
dhrs-4,Increasing,Embryonic
xtr-1,Larval,Embryonic
F54G2.1,Increasing,Embryonic
F54H5.2,Larval,Adult
F54H5.2,Larval,Adult
klf-3,Larval,Embryonic
klf-3,Increasing,Embryonic
klf-3,Larval,Embryonic
F54H5.5,Not_Bound,Embryonic
sel-11,Increasing,Adult
dhs-2,L3_High,Embryonic
apm-1,Not_Bound,Embryonic
F55A3.6,Not_Bound,Embryonic
F55A4.7,Not_Bound,Embryonic
