wbid,term,found
WBGene00007180,excretory system WBbt:0005736,1.0
WBGene00009403,excretory system WBbt:0005736,1.0
WBGene00010641,excretory system WBbt:0005736,1.0
WBGene00013228,excretory system WBbt:0005736,1.0
WBGene00010828,excretory system WBbt:0005736,1.0
WBGene00004859,excretory system WBbt:0005736,1.0
WBGene00004979,excretory system WBbt:0005736,1.0
WBGene00006760,excretory system WBbt:0005736,1.0
WBGene00006470,excretory system WBbt:0005736,1.0
WBGene00001247,excretory system WBbt:0005736,1.0
WBGene00009337,excretory system WBbt:0005736,1.0
WBGene00018226,excretory system WBbt:0005736,1.0
WBGene00016976,excretory system WBbt:0005736,1.0
WBGene00013025,excretory system WBbt:0005736,1.0
WBGene00000802,excretory system WBbt:0005736,1.0
WBGene00012017,excretory system WBbt:0005736,1.0
WBGene00002005,excretory system WBbt:0005736,1.0
WBGene00003998,excretory system WBbt:0005736,1.0
WBGene00019166,excretory system WBbt:0005736,1.0
WBGene00002038,excretory system WBbt:0005736,1.0
WBGene00006942,excretory system WBbt:0005736,1.0
WBGene00019344,ABprappaa WBbt:0006350,1.0
WBGene00004876,excretory secretory system WBbt:0006850,1.0
WBGene00003561,excretory secretory system WBbt:0006850,1.0
WBGene00015800,excretory secretory system WBbt:0006850,1.0
WBGene00000067,excretory secretory system WBbt:0006850,1.0
WBGene00006372,excretory secretory system WBbt:0006850,1.0
WBGene00022178,excretory secretory system WBbt:0006850,1.0
WBGene00005657,excretory secretory system WBbt:0006850,1.0
WBGene00008848,excretory secretory system WBbt:0006850,1.0
WBGene00001784,excretory secretory system WBbt:0006850,1.0
WBGene00007180,excretory secretory system WBbt:0006850,1.0
WBGene00009403,excretory secretory system WBbt:0006850,1.0
WBGene00010641,excretory secretory system WBbt:0006850,1.0
WBGene00013228,excretory secretory system WBbt:0006850,1.0
WBGene00010828,excretory secretory system WBbt:0006850,1.0
WBGene00004859,excretory secretory system WBbt:0006850,1.0
WBGene00004979,excretory secretory system WBbt:0006850,1.0
WBGene00006760,excretory secretory system WBbt:0006850,1.0
WBGene00006470,excretory secretory system WBbt:0006850,1.0
WBGene00001247,excretory secretory system WBbt:0006850,1.0
WBGene00009337,excretory secretory system WBbt:0006850,1.0
WBGene00018226,excretory secretory system WBbt:0006850,1.0
WBGene00016976,excretory secretory system WBbt:0006850,1.0
WBGene00013025,excretory secretory system WBbt:0006850,1.0
WBGene00000802,excretory secretory system WBbt:0006850,1.0
WBGene00012017,excretory secretory system WBbt:0006850,1.0
WBGene00002005,excretory secretory system WBbt:0006850,1.0
WBGene00003998,excretory secretory system WBbt:0006850,1.0
WBGene00019166,excretory secretory system WBbt:0006850,1.0
WBGene00002038,excretory secretory system WBbt:0006850,1.0
WBGene00006942,excretory secretory system WBbt:0006850,1.0
WBGene00019344,ABplappaa WBbt:0006371,1.0
