wbid,term,found
WBGene00019743,cephalic sensillum WBbt:0006920,1.0
WBGene00000522,cephalic sensillum WBbt:0006920,1.0
WBGene00007694,cephalic sensillum WBbt:0006920,1.0
WBGene00015955,cephalic sensillum WBbt:0006920,1.0
WBGene00010641,cephalic sensillum WBbt:0006920,1.0
WBGene00004400,cephalic sensillum WBbt:0006920,1.0
WBGene00010828,cephalic sensillum WBbt:0006920,1.0
WBGene00008726,cephalic sensillum WBbt:0006920,1.0
WBGene00008422,cephalic sensillum WBbt:0006920,1.0
WBGene00002273,cephalic sensillum WBbt:0006920,1.0
WBGene00010660,cephalic sensillum WBbt:0006920,1.0
WBGene00000783,cephalic sensillum WBbt:0006920,1.0
WBGene00019844,cephalic sensillum WBbt:0006920,1.0
WBGene00012464,cephalic sensillum WBbt:0006920,1.0
WBGene00018152,cephalic sensillum WBbt:0006920,1.0
WBGene00002274,cephalic sensillum WBbt:0006920,1.0
WBGene00044770,cephalic sensillum WBbt:0006920,1.0
WBGene00017449,cephalic sensillum WBbt:0006920,1.0
WBGene00010047,cephalic sensillum WBbt:0006920,1.0
WBGene00002038,cephalic sensillum WBbt:0006920,1.0
WBGene00008199,cephalic sensillum WBbt:0006920,1.0
WBGene00004876,excretory cell WBbt:0005812,1.0
WBGene00003561,excretory cell WBbt:0005812,1.0
WBGene00015800,excretory cell WBbt:0005812,1.0
WBGene00000067,excretory cell WBbt:0005812,1.0
WBGene00006372,excretory cell WBbt:0005812,1.0
WBGene00022178,excretory cell WBbt:0005812,1.0
WBGene00005657,excretory cell WBbt:0005812,1.0
WBGene00008848,excretory cell WBbt:0005812,1.0
WBGene00001784,excretory cell WBbt:0005812,1.0
WBGene00007180,excretory cell WBbt:0005812,1.0
WBGene00009403,excretory cell WBbt:0005812,1.0
WBGene00010641,excretory cell WBbt:0005812,1.0
WBGene00010828,excretory cell WBbt:0005812,1.0
WBGene00004859,excretory cell WBbt:0005812,1.0
WBGene00004979,excretory cell WBbt:0005812,1.0
WBGene00006760,excretory cell WBbt:0005812,1.0
WBGene00006470,excretory cell WBbt:0005812,1.0
WBGene00001247,excretory cell WBbt:0005812,1.0
WBGene00009337,excretory cell WBbt:0005812,1.0
WBGene00018226,excretory cell WBbt:0005812,1.0
WBGene00016976,excretory cell WBbt:0005812,1.0
WBGene00013025,excretory cell WBbt:0005812,1.0
WBGene00000802,excretory cell WBbt:0005812,1.0
WBGene00012017,excretory cell WBbt:0005812,1.0
WBGene00002005,excretory cell WBbt:0005812,1.0
WBGene00003998,excretory cell WBbt:0005812,1.0
WBGene00019166,excretory cell WBbt:0005812,1.0
WBGene00002038,excretory cell WBbt:0005812,1.0
WBGene00019344,ABprappap WBbt:0006220,1.0
WBGene00004876,excretory system WBbt:0005736,1.0
WBGene00003561,excretory system WBbt:0005736,1.0
WBGene00015800,excretory system WBbt:0005736,1.0
WBGene00000067,excretory system WBbt:0005736,1.0
WBGene00006372,excretory system WBbt:0005736,1.0
WBGene00022178,excretory system WBbt:0005736,1.0
WBGene00005657,excretory system WBbt:0005736,1.0
WBGene00008848,excretory system WBbt:0005736,1.0
WBGene00001784,excretory system WBbt:0005736,1.0
