 ,Label,Area,Mean,Min,Max,IntDen,RawIntDen
475,L4440rnai:background:MAX_ELT2gfp_L4440rnai_worm_23_C1,28.719,120.713,114,130,3466.737,301782.000
476,L4440rnai:intestine:MAX_ELT2gfp_L4440rnai_worm_23_C2,1328.306,225.918,142,897,300088.137,26122891.000
477,L4440rnai:background:MAX_ELT2gfp_L4440rnai_worm_23_C2,28.719,137.156,131,149,3938.968,342890.000
478,L4440rnai:background:MAX_ELT2gfp_L4440rnai_worm_23_C2,28.719,136.728,131,148,3926.676,341820.000
479,L4440rnai:background:MAX_ELT2gfp_L4440rnai_worm_23_C2,28.719,137.340,130,150,3944.263,343351.000
480,L4440rnai:background:MAX_ELT2gfp_L4440rnai_worm_23_C2,28.719,137.559,131,148,3950.536,343897.000
481,L4440rnai:intestine:MAX_ELT2gfp_L4440rnai_worm_24_C1,1803.581,306.502,140,1358,552800.416,48121679.000
482,L4440rnai:background:MAX_ELT2gfp_L4440rnai_worm_24_C1,28.719,120.678,115,131,3465.726,301694.000
483,L4440rnai:background:MAX_ELT2gfp_L4440rnai_worm_24_C1,28.719,121.976,117,131,3503.003,304939.000
484,L4440rnai:background:MAX_ELT2gfp_L4440rnai_worm_24_C1,28.719,119.641,114,128,3435.962,299103.000
485,L4440rnai:background:MAX_ELT2gfp_L4440rnai_worm_24_C1,28.719,121.728,116,130,3495.904,304321.000
486,L4440rnai:intestine:MAX_ELT2gfp_L4440rnai_worm_24_C2,1803.581,251.836,147,1049,454205.974,39538961.000
487,L4440rnai:background:MAX_ELT2gfp_L4440rnai_worm_24_C2,28.719,139.077,131,150,3994.142,347693.000
488,L4440rnai:background:MAX_ELT2gfp_L4440rnai_worm_24_C2,28.719,140.230,133,151,4027.238,350574.000
489,L4440rnai:background:MAX_ELT2gfp_L4440rnai_worm_24_C2,28.719,137.938,130,150,3961.426,344845.000
490,L4440rnai:background:MAX_ELT2gfp_L4440rnai_worm_24_C2,28.719,139.559,133,150,4007.985,348898.000
491,L4440rnai:intestine:MAX_ELT2gfp_L4440rnai_worm_25_C1,1582.123,372.563,152,1809,589439.948,51311177.000
492,L4440rnai:background:MAX_ELT2gfp_L4440rnai_worm_25_C1,28.719,120.186,115,128,3451.597,300464.000
493,L4440rnai:background:MAX_ELT2gfp_L4440rnai_worm_25_C1,28.719,127.248,119,140,3654.421,318120.000
494,L4440rnai:background:MAX_ELT2gfp_L4440rnai_worm_25_C1,28.719,119.803,115,127,3440.603,299507.000
495,L4440rnai:background:MAX_ELT2gfp_L4440rnai_worm_25_C1,28.719,122.982,117,132,3531.906,307455.000
496,L4440rnai:intestine:MAX_ELT2gfp_L4440rnai_worm_25_C2,1582.123,221.778,145,913,350880.658,30544417.000
497,L4440rnai:background:MAX_ELT2gfp_L4440rnai_worm_25_C2,28.719,139.271,131,151,3999.714,348178.000
498,L4440rnai:background:MAX_ELT2gfp_L4440rnai_worm_25_C2,28.719,142.021,134,155,4078.691,355053.000
499,L4440rnai:background:MAX_ELT2gfp_L4440rnai_worm_25_C2,28.719,137.680,130,149,3954.028,344201.000
500,L4440rnai:background:MAX_ELT2gfp_L4440rnai_worm_25_C2,28.719,139.422,131,152,4004.056,348556.000
