 ,Label,Area,Mean,Min,Max,IntDen,RawIntDen
125,MAX_CEBP1gfp_L4440rnai_Rep3_Azide60X_11_R3D.tif:background11:1,25.376,137.215,127,150,3481.970,303108.000
126,MAX_CEBP1gfp_L4440rnai_Rep3_Azide60X_11_R3D.tif:background11:2,25.376,109.779,106,116,2785.743,242501.000
127,MAX_CEBP1gfp_L4440rnai_Rep3_Azide60X_11_R3D.tif:background11:1,25.376,133.927,125,151,3398.536,295845.000
128,MAX_CEBP1gfp_L4440rnai_Rep3_Azide60X_11_R3D.tif:background11:2,25.376,110.739,107,117,2810.120,244623.000
129,MAX_CEBP1gfp_L4440rnai_Rep3_Azide60X_11_R3D.tif:worm11:1,954.846,518.098,307,1687,494703.567,43064306.000
130,MAX_CEBP1gfp_L4440rnai_Rep3_Azide60X_11_R3D.tif:worm11:2,954.846,119.074,110,171,113696.866,9897395.000
131,MAX_CEBP1gfp_L4440rnai_Rep3_Azide60X_10_R3D.tif:background11:1,25.376,134.928,126,149,3423.946,298057.000
132,MAX_CEBP1gfp_L4440rnai_Rep3_Azide60X_10_R3D.tif:background11:2,25.376,110.509,107,117,2804.284,244115.000
133,MAX_CEBP1gfp_L4440rnai_Rep3_Azide60X_10_R3D.tif:background11:1,25.376,132.185,125,143,3354.331,291997.000
134,MAX_CEBP1gfp_L4440rnai_Rep3_Azide60X_10_R3D.tif:background11:2,25.376,110.407,107,118,2801.688,243889.000
135,MAX_CEBP1gfp_L4440rnai_Rep3_Azide60X_10_R3D.tif:background11:1,25.376,140.719,129,159,3570.883,310848.000
136,MAX_CEBP1gfp_L4440rnai_Rep3_Azide60X_10_R3D.tif:background11:2,25.376,110.387,107,117,2801.171,243844.000
137,MAX_CEBP1gfp_L4440rnai_Rep3_Azide60X_10_R3D.tif:background11:1,25.376,144.690,133,162,3671.652,319620.000
138,MAX_CEBP1gfp_L4440rnai_Rep3_Azide60X_10_R3D.tif:background11:2,25.376,111.159,108,119,2820.781,245551.000
