 ,Label,Area,Mean,Min,Max,IntDen,RawIntDen
1,MAX_CEBP1gfp_ELT2rnai_Rep3_Azide60X_20_R3D.tif:background20:1,25.376,130.108,124,143,3301.627,287409.000
2,MAX_CEBP1gfp_ELT2rnai_Rep3_Azide60X_20_R3D.tif:background20:2,25.376,110.848,107,118,2812.889,244864.000
3,MAX_CEBP1gfp_ELT2rnai_Rep3_Azide60X_20_R3D.tif:background20:1,25.376,140.915,130,157,3575.857,311281.000
4,MAX_CEBP1gfp_ELT2rnai_Rep3_Azide60X_20_R3D.tif:background20:2,25.376,110.896,107,117,2814.106,244970.000
5,MAX_CEBP1gfp_ELT2rnai_Rep3_Azide60X_20_R3D.tif:background20:1,25.376,138.731,130,151,3520.430,306456.000
6,MAX_CEBP1gfp_ELT2rnai_Rep3_Azide60X_20_R3D.tif:background20:2,25.376,110.084,105,119,2793.498,243176.000
7,MAX_CEBP1gfp_ELT2rnai_Rep3_Azide60X_20_R3D.tif:background20:1,25.376,134.383,127,147,3410.104,296852.000
8,MAX_CEBP1gfp_ELT2rnai_Rep3_Azide60X_20_R3D.tif:background20:2,25.376,110.555,107,116,2805.456,244217.000
9,MAX_CEBP1gfp_ELT2rnai_Rep3_Azide60X_20_R3D.tif:worm20:1,1852.207,772.935,289,3130,1431635.230,124624890.000
10,MAX_CEBP1gfp_ELT2rnai_Rep3_Azide60X_20_R3D.tif:worm20:2,1852.207,119.140,108,169,220672.030,19209661.000
11,MAX_CEBP1gfp_ELT2rnai_Rep3_Azide60X_17_R3D.tif:background17:1,25.376,130.833,124,145,3320.018,289010.000
12,MAX_CEBP1gfp_ELT2rnai_Rep3_Azide60X_17_R3D.tif:background17:2,25.376,111.135,107,122,2820.172,245498.000
13,MAX_CEBP1gfp_ELT2rnai_Rep3_Azide60X_17_R3D.tif:background17:1,25.376,128.016,123,137,3248.531,282787.000
14,MAX_CEBP1gfp_ELT2rnai_Rep3_Azide60X_17_R3D.tif:background17:2,25.376,110.669,107,117,2808.340,244468.000
15,MAX_CEBP1gfp_ELT2rnai_Rep3_Azide60X_17_R3D.tif:background17:1,25.376,146.759,130,235,3724.162,324191.000
16,MAX_CEBP1gfp_ELT2rnai_Rep3_Azide60X_17_R3D.tif:background17:2,25.376,110.535,107,118,2804.939,244172.000
17,MAX_CEBP1gfp_ELT2rnai_Rep3_Azide60X_17_R3D.tif:background17:1,25.376,136.770,123,207,3470.689,302126.000
18,MAX_CEBP1gfp_ELT2rnai_Rep3_Azide60X_17_R3D.tif:background17:2,25.376,110.520,106,121,2804.560,244139.000
19,MAX_CEBP1gfp_ELT2rnai_Rep3_Azide60X_17_R3D.tif:worm17:1,1214.062,449.781,210,1598,546062.299,47535121.000
20,MAX_CEBP1gfp_ELT2rnai_Rep3_Azide60X_17_R3D.tif:worm17:2,1214.062,116.987,108,162,142029.632,12363783.000
21,MAX_CEBP1gfp_ELT2rnai_Rep3_Azide60X_16_R3D.tif:background16:1,25.376,140.945,130,155,3576.627,311348.000
22,MAX_CEBP1gfp_ELT2rnai_Rep3_Azide60X_16_R3D.tif:background16:2,25.376,111.057,106,123,2818.173,245324.000
23,MAX_CEBP1gfp_ELT2rnai_Rep3_Azide60X_16_R3D.tif:background16:1,25.376,140.613,130,155,3568.195,310614.000
24,MAX_CEBP1gfp_ELT2rnai_Rep3_Azide60X_16_R3D.tif:background16:2,25.376,111.111,107,118,2819.563,245445.000
25,MAX_CEBP1gfp_ELT2rnai_Rep3_Azide60X_16_R3D.tif:background16:1,25.376,155.550,137,199,3947.239,343610.000
26,MAX_CEBP1gfp_ELT2rnai_Rep3_Azide60X_16_R3D.tif:background16:2,25.376,111.054,107,117,2818.115,245319.000
27,MAX_CEBP1gfp_ELT2rnai_Rep3_Azide60X_16_R3D.tif:background16:1,25.376,144.649,129,164,3670.618,319530.000
28,MAX_CEBP1gfp_ELT2rnai_Rep3_Azide60X_16_R3D.tif:background16:2,25.376,110.685,106,121,2808.753,244504.000
29,MAX_CEBP1gfp_ELT2rnai_Rep3_Azide60X_16_R3D.tif:worm16:1,1021.186,683.801,292,2517,698287.756,60786458.000
30,MAX_CEBP1gfp_ELT2rnai_Rep3_Azide60X_16_R3D.tif:worm16:2,1021.186,124.493,109,196,127130.435,11066797.000
31,MAX_CEBP1gfp_ELT2rnai_Rep3_Azide60X_15_R3D.tif:worm15:1,820.636,1160.543,465,4095,952384.159,82905735.000
32,MAX_CEBP1gfp_ELT2rnai_Rep3_Azide60X_15_R3D.tif:worm15:2,820.636,130.611,110,213,107183.824,9330430.000
33,MAX_CEBP1gfp_ELT2rnai_Rep3_Azide60X_15_R3D.tif:background15:1,25.376,154.681,140,177,3925.194,341691.000
34,MAX_CEBP1gfp_ELT2rnai_Rep3_Azide60X_15_R3D.tif:background15:2,25.376,111.528,108,120,2830.143,246366.000
35,MAX_CEBP1gfp_ELT2rnai_Rep3_Azide60X_15_R3D.tif:background15:1,25.376,152.157,137,171,3861.139,336115.000
36,MAX_CEBP1gfp_ELT2rnai_Rep3_Azide60X_15_R3D.tif:background15:2,25.376,111.167,107,119,2820.964,245567.000
37,MAX_CEBP1gfp_ELT2rnai_Rep3_Azide60X_15_R3D.tif:background15:1,25.376,141.869,130,156,3600.062,313388.000
38,MAX_CEBP1gfp_ELT2rnai_Rep3_Azide60X_15_R3D.tif:background15:2,25.376,110.566,106,125,2805.732,244241.000
