 ,Label,Area,Mean,Min,Max,IntDen,RawIntDen
629,03_ELT2rnai:background:MAX_CEBP1gfp_ELT2rnai_Rep5_Worm_16_C3,28.719,115.078,111,123,3304.924,287696.000
630,03_ELT2rnai:background:MAX_CEBP1gfp_ELT2rnai_Rep5_Worm_16_C3,28.719,115.052,111,123,3304.154,287629.000
631,03_ELT2rnai:intestine:MAX_CEBP1gfp_ELT2rnai_Rep5_Worm_18_C1,986.942,112.560,104,147,111089.777,9670446.000
632,03_ELT2rnai:background:MAX_CEBP1gfp_ELT2rnai_Rep5_Worm_18_C1,28.719,104.246,101,110,2993.841,260616.000
633,03_ELT2rnai:background:MAX_CEBP1gfp_ELT2rnai_Rep5_Worm_18_C1,28.719,103.919,101,110,2984.444,259798.000
634,03_ELT2rnai:background:MAX_CEBP1gfp_ELT2rnai_Rep5_Worm_18_C1,28.719,104.876,102,111,3011.910,262189.000
635,03_ELT2rnai:background:MAX_CEBP1gfp_ELT2rnai_Rep5_Worm_18_C1,28.719,104.842,102,112,3010.946,262105.000
636,03_ELT2rnai:intestine:MAX_CEBP1gfp_ELT2rnai_Rep5_Worm_18_C2,986.942,988.272,363,4095,975366.700,84906382.000
637,03_ELT2rnai:background:MAX_CEBP1gfp_ELT2rnai_Rep5_Worm_18_C2,28.719,135.300,126,150,3885.677,338251.000
638,03_ELT2rnai:background:MAX_CEBP1gfp_ELT2rnai_Rep5_Worm_18_C2,28.719,135.491,124,150,3891.145,338727.000
639,03_ELT2rnai:background:MAX_CEBP1gfp_ELT2rnai_Rep5_Worm_18_C2,28.719,145.135,131,179,4168.121,362838.000
640,03_ELT2rnai:background:MAX_CEBP1gfp_ELT2rnai_Rep5_Worm_18_C2,28.719,153.008,139,176,4394.231,382521.000
641,03_ELT2rnai:intestine:MAX_CEBP1gfp_ELT2rnai_Rep5_Worm_18_C3,986.942,257.250,130,962,253890.649,22101366.000
642,03_ELT2rnai:background:MAX_CEBP1gfp_ELT2rnai_Rep5_Worm_18_C3,28.719,114.308,110,123,3282.787,285769.000
643,03_ELT2rnai:background:MAX_CEBP1gfp_ELT2rnai_Rep5_Worm_18_C3,28.719,114.501,110,122,3288.347,286253.000
644,03_ELT2rnai:background:MAX_CEBP1gfp_ELT2rnai_Rep5_Worm_18_C3,28.719,116.380,112,127,3342.304,290950.000
645,03_ELT2rnai:background:MAX_CEBP1gfp_ELT2rnai_Rep5_Worm_18_C3,28.719,116.907,112,124,3357.433,292267.000
646,04_ELT2ELT7rnai:intestine:MAX_CEBP1gfp_ELT2ELT7rnai_Worm01_C1,938.878,107.669,103,301,101087.919,8799777.000
647,04_ELT2ELT7rnai:background:MAX_CEBP1gfp_ELT2ELT7rnai_Worm01_C1,28.719,105.221,102,111,3021.836,263053.000
648,04_ELT2ELT7rnai:background:MAX_CEBP1gfp_ELT2ELT7rnai_Worm01_C1,28.719,105.324,102,111,3024.799,263311.000
649,04_ELT2ELT7rnai:background:MAX_CEBP1gfp_ELT2ELT7rnai_Worm01_C1,28.719,104.365,101,109,2997.252,260913.000
650,04_ELT2ELT7rnai:background:MAX_CEBP1gfp_ELT2ELT7rnai_Worm01_C1,28.719,105.374,102,111,3026.212,263434.000
651,04_ELT2ELT7rnai:intestine:MAX_CEBP1gfp_ELT2ELT7rnai_Worm01_C2,938.878,585.302,368,2640,549526.968,47836723.000
652,04_ELT2ELT7rnai:background:MAX_CEBP1gfp_ELT2ELT7rnai_Worm01_C2,28.719,348.235,319,379,10000.927,870588.000
653,04_ELT2ELT7rnai:background:MAX_CEBP1gfp_ELT2ELT7rnai_Worm01_C2,28.719,343.469,314,374,9864.053,858673.000
654,04_ELT2ELT7rnai:background:MAX_CEBP1gfp_ELT2ELT7rnai_Worm01_C2,28.719,363.914,333,395,10451.193,909784.000
655,04_ELT2ELT7rnai:background:MAX_CEBP1gfp_ELT2ELT7rnai_Worm01_C2,28.719,371.217,343,400,10660.933,928042.000
656,04_ELT2ELT7rnai:intestine:MAX_CEBP1gfp_ELT2ELT7rnai_Worm01_C3,938.878,260.245,153,1011,244338.219,21269820.000
657,04_ELT2ELT7rnai:background:MAX_CEBP1gfp_ELT2ELT7rnai_Worm01_C3,28.719,131.719,125,146,3782.829,329298.000
658,04_ELT2ELT7rnai:background:MAX_CEBP1gfp_ELT2ELT7rnai_Worm01_C3,28.719,130.890,125,142,3759.004,327224.000
659,04_ELT2ELT7rnai:background:MAX_CEBP1gfp_ELT2ELT7rnai_Worm01_C3,28.719,132.474,126,144,3804.494,331184.000
660,04_ELT2ELT7rnai:background:MAX_CEBP1gfp_ELT2ELT7rnai_Worm01_C3,28.719,136.696,129,151,3925.757,341740.000
661,04_ELT2ELT7rnai:intestine:MAX_CEBP1gfp_ELT2ELT7rnai_Worm02_C1,843.772,107.257,103,122,90500.908,7878170.000
662,04_ELT2ELT7rnai:background:MAX_CEBP1gfp_ELT2ELT7rnai_Worm02_C1,28.719,105.456,102,112,3028.590,263641.000
663,04_ELT2ELT7rnai:background:MAX_CEBP1gfp_ELT2ELT7rnai_Worm02_C1,28.719,105.442,102,111,3028.165,263604.000
664,04_ELT2ELT7rnai:background:MAX_CEBP1gfp_ELT2ELT7rnai_Worm02_C1,28.719,104.434,101,111,2999.217,261084.000
665,04_ELT2ELT7rnai:background:MAX_CEBP1gfp_ELT2ELT7rnai_Worm02_C1,28.719,105.337,102,110,3025.156,263342.000
666,04_ELT2ELT7rnai:intestine:MAX_CEBP1gfp_ELT2ELT7rnai_Worm02_C2,843.772,572.514,320,2180,483071.798,42051752.000
667,04_ELT2ELT7rnai:background:MAX_CEBP1gfp_ELT2ELT7rnai_Worm02_C2,28.719,270.724,247,294,7774.880,676809.000
668,04_ELT2ELT7rnai:background:MAX_CEBP1gfp_ELT2ELT7rnai_Worm02_C2,28.719,271.654,246,299,7801.589,679134.000
669,04_ELT2ELT7rnai:background:MAX_CEBP1gfp_ELT2ELT7rnai_Worm02_C2,28.719,268.437,245,299,7709.217,671093.000
670,04_ELT2ELT7rnai:background:MAX_CEBP1gfp_ELT2ELT7rnai_Worm02_C2,28.719,267.457,243,296,7681.073,668643.000
671,04_ELT2ELT7rnai:intestine:MAX_CEBP1gfp_ELT2ELT7rnai_Worm02_C3,843.772,215.694,151,630,181996.822,15842956.000
672,04_ELT2ELT7rnai:background:MAX_CEBP1gfp_ELT2ELT7rnai_Worm02_C3,28.719,128.163,122,140,3680.693,320407.000
673,04_ELT2ELT7rnai:background:MAX_CEBP1gfp_ELT2ELT7rnai_Worm02_C3,28.719,128.818,123,142,3699.498,322044.000
674,04_ELT2ELT7rnai:background:MAX_CEBP1gfp_ELT2ELT7rnai_Worm02_C3,28.719,129.871,123,150,3729.756,324678.000
675,04_ELT2ELT7rnai:background:MAX_CEBP1gfp_ELT2ELT7rnai_Worm02_C3,28.719,131.672,124,152,3781.462,329179.000
676,04_ELT2ELT7rnai:intestine:MAX_CEBP1gfp_ELT2ELT7rnai_Worm03_C1,1044.713,117.119,105,185,122355.231,10651112.000
677,04_ELT2ELT7rnai:background:MAX_CEBP1gfp_ELT2ELT7rnai_Worm03_C1,28.719,105.192,102,111,3020.986,262979.000
678,04_ELT2ELT7rnai:background:MAX_CEBP1gfp_ELT2ELT7rnai_Worm03_C1,28.719,105.394,102,111,3026.787,263484.000
679,04_ELT2ELT7rnai:background:MAX_CEBP1gfp_ELT2ELT7rnai_Worm03_C1,28.719,104.648,101,111,3005.374,261620.000
680,04_ELT2ELT7rnai:background:MAX_CEBP1gfp_ELT2ELT7rnai_Worm03_C1,28.719,105.089,102,111,3018.033,262722.000
681,04_ELT2ELT7rnai:intestine:MAX_CEBP1gfp_ELT2ELT7rnai_Worm03_C2,1044.713,478.428,290,1824,499819.848,43509682.000
682,04_ELT2ELT7rnai:background:MAX_CEBP1gfp_ELT2ELT7rnai_Worm03_C2,28.719,135.678,126,148,3896.533,339196.000
683,04_ELT2ELT7rnai:background:MAX_CEBP1gfp_ELT2ELT7rnai_Worm03_C2,28.719,136.079,126,151,3908.043,340198.000
684,04_ELT2ELT7rnai:background:MAX_CEBP1gfp_ELT2ELT7rnai_Worm03_C2,28.719,157.804,139,181,4531.967,394511.000
685,04_ELT2ELT7rnai:background:MAX_CEBP1gfp_ELT2ELT7rnai_Worm03_C2,28.719,137.291,126,151,3942.839,343227.000
686,04_ELT2ELT7rnai:intestine:MAX_CEBP1gfp_ELT2ELT7rnai_Worm03_C3,1044.713,464.339,147,2516,485100.396,42228343.000
687,04_ELT2ELT7rnai:background:MAX_CEBP1gfp_ELT2ELT7rnai_Worm03_C3,28.719,118.621,114,127,3406.657,296552.000
