 ,Label,Area,Mean,Min,Max,IntDen,RawIntDen
556,02_ELT7rnai:intestine:MAX_CEBP1gfp_ELT7rnai_Rep4_Worm_12_C1,1240.426,108.994,103,126,135199.052,11769176
557,02_ELT7rnai:background:MAX_CEBP1gfp_ELT7rnai_Rep4_Worm_12_C1,28.719,103.851,101,110,2982.479,259627
558,02_ELT7rnai:background:MAX_CEBP1gfp_ELT7rnai_Rep4_Worm_12_C1,28.719,103.926,101,109,2984.628,259814
559,02_ELT7rnai:background:MAX_CEBP1gfp_ELT7rnai_Rep4_Worm_12_C1,28.719,104.966,102,110,3014.518,262416
560,02_ELT7rnai:background:MAX_CEBP1gfp_ELT7rnai_Rep4_Worm_12_C1,28.719,104.555,101,110,3002.697,261387
561,02_ELT7rnai:intestine:MAX_CEBP1gfp_ELT7rnai_Rep4_Worm_12_C2,1240.426,420.851,283,1585,522034.229,45443460
562,02_ELT7rnai:background:MAX_CEBP1gfp_ELT7rnai_Rep4_Worm_12_C2,28.719,122.973,118,134,3531.653,307433
563,02_ELT7rnai:background:MAX_CEBP1gfp_ELT7rnai_Rep4_Worm_12_C2,28.719,129.361,122,142,3715.098,323402
564,02_ELT7rnai:background:MAX_CEBP1gfp_ELT7rnai_Rep4_Worm_12_C2,28.719,163.664,132,209,4700.236,409159
565,02_ELT7rnai:background:MAX_CEBP1gfp_ELT7rnai_Rep4_Worm_12_C2,28.719,126.95,121,137,3645.874,317376
566,02_ELT7rnai:intestine:MAX_CEBP1gfp_ELT7rnai_Rep4_Worm_12_C3,1240.426,281.517,160,1659,349200.937,30398196
567,02_ELT7rnai:background:MAX_CEBP1gfp_ELT7rnai_Rep4_Worm_12_C3,28.719,113.975,110,123,3273.229,284937
568,02_ELT7rnai:background:MAX_CEBP1gfp_ELT7rnai_Rep4_Worm_12_C3,28.719,116.429,112,126,3343.717,291073
569,02_ELT7rnai:background:MAX_CEBP1gfp_ELT7rnai_Rep4_Worm_12_C3,28.719,122.607,115,139,3521.131,306517
570,02_ELT7rnai:background:MAX_CEBP1gfp_ELT7rnai_Rep4_Worm_12_C3,28.719,116.022,112,124,3332.011,290054
571,02_ELT7rnai:intestine:MAX_CEBP1gfp_ELT7rnai_Rep4_Worm_13_C1,1306.928,112.353,105,133,146837.507,12782312
572,02_ELT7rnai:background:MAX_CEBP1gfp_ELT7rnai_Rep4_Worm_13_C1,28.719,105.297,102,111,3024.018,263243
573,02_ELT7rnai:background:MAX_CEBP1gfp_ELT7rnai_Rep4_Worm_13_C1,20.103,104.449,101,109,2099.764,182786
574,02_ELT7rnai:background:MAX_CEBP1gfp_ELT7rnai_Rep4_Worm_13_C1,28.719,105.168,102,111,3020.296,262919
575,02_ELT7rnai:background:MAX_CEBP1gfp_ELT7rnai_Rep4_Worm_13_C1,28.719,105.491,102,113,3029.578,263727
576,02_ELT7rnai:intestine:MAX_CEBP1gfp_ELT7rnai_Rep4_Worm_13_C2,1306.928,462.259,323,1463,604138.929,52590734
577,02_ELT7rnai:background:MAX_CEBP1gfp_ELT7rnai_Rep4_Worm_13_C2,28.719,137.593,127,154,3951.523,343983
578,02_ELT7rnai:background:MAX_CEBP1gfp_ELT7rnai_Rep4_Worm_13_C2,20.103,128.896,122,141,2591.225,225568
579,02_ELT7rnai:background:MAX_CEBP1gfp_ELT7rnai_Rep4_Worm_13_C2,28.719,131.735,123,145,3783.288,329338
580,02_ELT7rnai:background:MAX_CEBP1gfp_ELT7rnai_Rep4_Worm_13_C2,28.719,139.716,127,158,4012.499,349291
581,02_ELT7rnai:intestine:MAX_CEBP1gfp_ELT7rnai_Rep4_Worm_13_C3,1306.928,277.921,150,1413,363222.991,31618826
582,02_ELT7rnai:background:MAX_CEBP1gfp_ELT7rnai_Rep4_Worm_13_C3,28.719,117.392,112,128,3371.379,293481
583,02_ELT7rnai:background:MAX_CEBP1gfp_ELT7rnai_Rep4_Worm_13_C3,20.103,115.433,111,124,2320.578,202008
584,02_ELT7rnai:background:MAX_CEBP1gfp_ELT7rnai_Rep4_Worm_13_C3,28.719,116.77,112,126,3353.493,291924
585,02_ELT7rnai:background:MAX_CEBP1gfp_ELT7rnai_Rep4_Worm_13_C3,28.719,118.823,113,128,3412.47,297058
586,02_ELT7rnai:intestine:MAX_CEBP1gfp_ELT7rnai_Rep4_Worm_14_C1,1434.244,113.611,106,140,162945.85,14184555
587,02_ELT7rnai:background:MAX_CEBP1gfp_ELT7rnai_Rep4_Worm_14_C1,28.719,105.255,102,111,3022.812,263138
588,02_ELT7rnai:background:MAX_CEBP1gfp_ELT7rnai_Rep4_Worm_14_C1,28.719,104.596,101,110,3003.869,261489
589,02_ELT7rnai:background:MAX_CEBP1gfp_ELT7rnai_Rep4_Worm_14_C1,28.719,105.499,102,111,3029.82,263748
590,02_ELT7rnai:background:MAX_CEBP1gfp_ELT7rnai_Rep4_Worm_14_C1,28.719,105.488,102,111,3029.509,263721
591,02_ELT7rnai:intestine:MAX_CEBP1gfp_ELT7rnai_Rep4_Worm_14_C2,1434.244,490.994,319,1162,704204.754,61301537
592,02_ELT7rnai:background:MAX_CEBP1gfp_ELT7rnai_Rep4_Worm_14_C2,28.719,126.537,121,138,3634.007,316343
593,02_ELT7rnai:background:MAX_CEBP1gfp_ELT7rnai_Rep4_Worm_14_C2,28.719,126.272,120,139,3626.38,315679
594,02_ELT7rnai:background:MAX_CEBP1gfp_ELT7rnai_Rep4_Worm_14_C2,28.719,136.074,126,156,3907.894,340185
595,02_ELT7rnai:background:MAX_CEBP1gfp_ELT7rnai_Rep4_Worm_14_C2,28.719,133.483,125,148,3833.477,333707
596,02_ELT7rnai:intestine:MAX_CEBP1gfp_ELT7rnai_Rep4_Worm_14_C3,1434.244,256.644,150,1176,368090.072,32042509
597,02_ELT7rnai:background:MAX_CEBP1gfp_ELT7rnai_Rep4_Worm_14_C3,28.719,114.268,110,121,3281.65,285670
598,02_ELT7rnai:background:MAX_CEBP1gfp_ELT7rnai_Rep4_Worm_14_C3,28.719,114.082,110,122,3276.297,285204
599,02_ELT7rnai:background:MAX_CEBP1gfp_ELT7rnai_Rep4_Worm_14_C3,28.719,116.418,112,126,3343.395,291045
600,02_ELT7rnai:background:MAX_CEBP1gfp_ELT7rnai_Rep4_Worm_14_C3,28.719,116.12,112,125,3334.826,290299
601,02_ELT7rnai:intestine:MAX_CEBP1gfp_ELT7rnai_Rep4_Worm_15_C1,1302.895,108.527,104,124,141399.23,12308906
602,02_ELT7rnai:background:MAX_CEBP1gfp_ELT7rnai_Rep4_Worm_15_C1,28.719,105.197,102,111,3021.146,262993
603,02_ELT7rnai:background:MAX_CEBP1gfp_ELT7rnai_Rep4_Worm_15_C1,28.719,104.49,101,110,3000.836,261225
604,02_ELT7rnai:background:MAX_CEBP1gfp_ELT7rnai_Rep4_Worm_15_C1,28.719,105.407,102,112,3027.177,263518
605,02_ELT7rnai:background:MAX_CEBP1gfp_ELT7rnai_Rep4_Worm_15_C1,28.719,105.086,102,113,3017.964,262716
606,02_ELT7rnai:intestine:MAX_CEBP1gfp_ELT7rnai_Rep4_Worm_15_C2,1302.895,381.85,258,1739,497510.08,43308615
607,02_ELT7rnai:background:MAX_CEBP1gfp_ELT7rnai_Rep4_Worm_15_C2,28.719,125.169,120,135,3594.72,312923
608,02_ELT7rnai:background:MAX_CEBP1gfp_ELT7rnai_Rep4_Worm_15_C2,28.719,123.062,119,131,3534.215,307656
609,02_ELT7rnai:background:MAX_CEBP1gfp_ELT7rnai_Rep4_Worm_15_C2,28.719,137.131,126,156,3938.255,342828
610,02_ELT7rnai:background:MAX_CEBP1gfp_ELT7rnai_Rep4_Worm_15_C2,28.719,123.584,119,133,3549.183,308959
611,02_ELT7rnai:intestine:MAX_CEBP1gfp_ELT7rnai_Rep4_Worm_15_C3,1302.895,272.341,154,1516,354831.562,30888346
612,02_ELT7rnai:background:MAX_CEBP1gfp_ELT7rnai_Rep4_Worm_15_C3,28.719,114.861,111,122,3298.686,287153
613,02_ELT7rnai:background:MAX_CEBP1gfp_ELT7rnai_Rep4_Worm_15_C3,28.719,113.752,110,122,3266.819,284379
614,02_ELT7rnai:background:MAX_CEBP1gfp_ELT7rnai_Rep4_Worm_15_C3,28.719,119.037,114,129,3418.604,297592
615,02_ELT7rnai:background:MAX_CEBP1gfp_ELT7rnai_Rep4_Worm_15_C3,28.719,115.162,111,123,3307.324,287905
616,02_ELT7rnai:intestine:MAX_CEBP1gfp_ELT7rnai_Rep4_Worm_16_C1,1055.465,109.256,103,126,115315.508,10038299
617,02_ELT7rnai:background:MAX_CEBP1gfp_ELT7rnai_Rep4_Worm_16_C1,28.719,105.23,102,111,3022.1,263076
618,02_ELT7rnai:background:MAX_CEBP1gfp_ELT7rnai_Rep4_Worm_16_C1,28.719,104.722,101,110,3007.511,261806
