WBGeneID,class
WBGene00004859,Target Gene Class B
WBGene00004875,Target Gene Class A1
WBGene00004876,Target Gene Class C
WBGene00004878,Target Gene Class A1
WBGene00004890,Target Gene Class A2
WBGene00004898,Target Gene Class B
WBGene00004922,Target Gene Class B
WBGene00004979,Target Gene Class C
WBGene00004981,Target Gene Class B
WBGene00004985,Target Gene Class C
WBGene00004986,Target Gene Class A1
WBGene00004988,Target Gene Class A2
WBGene00004990,Target Gene Class A1
WBGene00004991,Target Gene Class A1
WBGene00004993,Target Gene Class A1
WBGene00004999,Target Gene Class A1
WBGene00005002,Target Gene Class A1
WBGene00005003,Target Gene Class A2
WBGene00005657,Target Gene Class B
WBGene00005703,Target Gene Class A1
WBGene00006016,Target Gene Class A2
WBGene00006224,Target Gene Class B
WBGene00006372,Target Gene Class C
WBGene00006431,Target Gene Class A2
WBGene00006454,Target Gene Class A1
WBGene00006464,Target Gene Class A2
WBGene00006470,Target Gene Class B
WBGene00006533,Target Gene Class B
WBGene00006609,Target Gene Class A2
WBGene00006617,Target Gene Class B
WBGene00006628,Target Gene Class C
WBGene00006635,Target Gene Class A1
WBGene00006760,Target Gene Class C
WBGene00006794,Target Gene Class C
WBGene00006820,Target Gene Class A1
WBGene00006823,Target Gene Class C
WBGene00006915,Target Gene Class A2
WBGene00006923,Target Gene Class C
WBGene00006940,Target Gene Class C
WBGene00006942,Target Gene Class B
WBGene00007030,Target Gene Class A1
WBGene00007073,Target Gene Class B
WBGene00007112,Target Gene Class A1
WBGene00007131,Target Gene Class B
WBGene00007139,Target Gene Class C
WBGene00007153,Target Gene Class A2
WBGene00007180,Target Gene Class C
WBGene00007220,Target Gene Class A1
WBGene00007228,Target Gene Class A1
WBGene00007248,Target Gene Class B
WBGene00007275,Target Gene Class A1
WBGene00007331,Target Gene Class A1
WBGene00007352,Target Gene Class B
WBGene00007366,Target Gene Class C
WBGene00007368,Target Gene Class B
WBGene00007372,Target Gene Class B
WBGene00007394,Target Gene Class A1
WBGene00007404,Target Gene Class A1
WBGene00007422,Target Gene Class A1
WBGene00007430,Target Gene Class A1
WBGene00007440,Target Gene Class B
WBGene00007455,Target Gene Class A1
WBGene00007557,Target Gene Class A2
WBGene00007558,Target Gene Class A2
WBGene00007599,Target Gene Class A1
WBGene00007605,Target Gene Class A2
WBGene00007609,Target Gene Class A1
WBGene00007650,Target Gene Class A1
WBGene00007655,Target Gene Class B
WBGene00007656,Target Gene Class B
WBGene00007672,Target Gene Class A2
WBGene00007689,Target Gene Class B
WBGene00007692,Target Gene Class A1
WBGene00007693,Target Gene Class A1
WBGene00007694,Target Gene Class B
WBGene00007695,Target Gene Class A2
WBGene00007725,Target Gene Class A2
WBGene00007748,Target Gene Class A2
WBGene00007807,Target Gene Class A2
WBGene00007810,Target Gene Class A1
WBGene00007811,Target Gene Class A1
WBGene00007817,Target Gene Class C
WBGene00007833,Target Gene Class B
WBGene00007840,Target Gene Class A2
WBGene00007857,Target Gene Class A2
WBGene00007867,Target Gene Class A1
WBGene00007885,Target Gene Class B
WBGene00007904,Target Gene Class A1
WBGene00007909,Target Gene Class A1
WBGene00007923,Target Gene Class B
WBGene00007928,Target Gene Class B
WBGene00007946,Target Gene Class A1
WBGene00008042,Target Gene Class A1
WBGene00008043,Target Gene Class A1
WBGene00008091,Target Gene Class B
WBGene00008102,Target Gene Class B
WBGene00008123,Target Gene Class A2
WBGene00008167,Target Gene Class A2
WBGene00008194,Target Gene Class A2
WBGene00008199,Target Gene Class B
WBGene00008200,Target Gene Class A2
WBGene00008220,Target Gene Class A2
WBGene00008228,Target Gene Class C
WBGene00008229,Target Gene Class A2
WBGene00008239,Target Gene Class A2
WBGene00008246,Target Gene Class A2
WBGene00008251,Target Gene Class A1
WBGene00008255,Target Gene Class B
WBGene00008265,Target Gene Class B
WBGene00008273,Target Gene Class A2
WBGene00008296,Target Gene Class B
WBGene00008319,Target Gene Class B
WBGene00008341,Target Gene Class A2
WBGene00008354,Target Gene Class A1
WBGene00008359,Target Gene Class A1
WBGene00008372,Target Gene Class B
WBGene00008422,Target Gene Class C
WBGene00008425,Target Gene Class A1
WBGene00008477,Target Gene Class A1
WBGene00008485,Target Gene Class B
WBGene00008486,Target Gene Class B
WBGene00008492,Target Gene Class A2
WBGene00008495,Target Gene Class A1
WBGene00008499,Target Gene Class A2
WBGene00008542,Target Gene Class A1
WBGene00008572,Target Gene Class C
WBGene00008584,Target Gene Class A1
WBGene00008594,Target Gene Class A1
WBGene00008596,Target Gene Class A1
WBGene00008597,Target Gene Class A1
WBGene00008599,Target Gene Class B
WBGene00008602,Target Gene Class B
WBGene00008607,Target Gene Class A2
WBGene00008654,Target Gene Class A2
WBGene00008669,Target Gene Class A1
WBGene00008692,Target Gene Class A2
WBGene00008726,Target Gene Class C
WBGene00008731,Target Gene Class A2
WBGene00008741,Target Gene Class A2
WBGene00008774,Target Gene Class A2
WBGene00008779,Target Gene Class C
WBGene00008780,Target Gene Class C
WBGene00008793,Target Gene Class A1
WBGene00008831,Target Gene Class C
WBGene00008848,Target Gene Class B
WBGene00008849,Target Gene Class B
WBGene00008891,Target Gene Class B
WBGene00008900,Target Gene Class A1
WBGene00008922,Target Gene Class C
WBGene00008944,Target Gene Class C
WBGene00008945,Target Gene Class A2
WBGene00008954,Target Gene Class A2
WBGene00008988,Target Gene Class C
WBGene00009008,Target Gene Class B
WBGene00009061,Target Gene Class B
WBGene00009093,Target Gene Class B
WBGene00009101,Target Gene Class B
WBGene00009102,Target Gene Class B
WBGene00009162,Target Gene Class B
WBGene00009226,Target Gene Class A1
WBGene00009237,Target Gene Class A1
WBGene00009242,Target Gene Class A1
WBGene00009257,Target Gene Class A1
WBGene00009259,Target Gene Class B
WBGene00009291,Target Gene Class A1
WBGene00009293,Target Gene Class C
WBGene00009337,Target Gene Class C
WBGene00009347,Target Gene Class A1
WBGene00009385,Target Gene Class C
WBGene00009389,Target Gene Class A2
WBGene00009393,Target Gene Class B
WBGene00009394,Target Gene Class A2
WBGene00009403,Target Gene Class B
WBGene00009429,Target Gene Class C
