WBGeneID,class
WBGene00020080,Target Gene Class A1
WBGene00020094,Target Gene Class C
WBGene00020128,Target Gene Class B
WBGene00020139,Target Gene Class A1
WBGene00020182,Target Gene Class A2
WBGene00020191,Target Gene Class A1
WBGene00020247,Target Gene Class A1
WBGene00020256,Target Gene Class A2
WBGene00020258,Target Gene Class A2
WBGene00020280,Target Gene Class A2
WBGene00020325,Target Gene Class B
WBGene00020326,Target Gene Class A1
WBGene00020340,Target Gene Class A2
WBGene00020357,Target Gene Class B
WBGene00020359,Target Gene Class A2
WBGene00020378,Target Gene Class A1
WBGene00020393,Target Gene Class A1
WBGene00020401,Target Gene Class A1
WBGene00020449,Target Gene Class A2
WBGene00020453,Target Gene Class A2
WBGene00020455,Target Gene Class B
WBGene00020456,Target Gene Class B
WBGene00020472,Target Gene Class B
WBGene00020532,Target Gene Class B
WBGene00020574,Target Gene Class A1
WBGene00020576,Target Gene Class A2
WBGene00020577,Target Gene Class A1
WBGene00020579,Target Gene Class A2
WBGene00020631,Target Gene Class A1
WBGene00020662,Target Gene Class A1
WBGene00020728,Target Gene Class A1
WBGene00020736,Target Gene Class C
WBGene00020741,Target Gene Class A1
WBGene00020770,Target Gene Class B
WBGene00020771,Target Gene Class B
WBGene00020786,Target Gene Class C
WBGene00020788,Target Gene Class A1
WBGene00020791,Target Gene Class B
WBGene00020799,Target Gene Class A1
WBGene00020847,Target Gene Class A1
WBGene00020938,Target Gene Class A1
WBGene00020943,Target Gene Class A1
WBGene00020989,Target Gene Class A1
WBGene00021048,Target Gene Class B
WBGene00021060,Target Gene Class A1
WBGene00021082,Target Gene Class B
WBGene00021121,Target Gene Class C
WBGene00021160,Target Gene Class A1
WBGene00021167,Target Gene Class A2
WBGene00021178,Target Gene Class B
WBGene00021190,Target Gene Class A1
WBGene00021262,Target Gene Class A2
WBGene00021281,Target Gene Class A1
WBGene00021321,Target Gene Class A1
WBGene00021322,Target Gene Class B
WBGene00021325,Target Gene Class B
WBGene00021352,Target Gene Class B
WBGene00021396,Target Gene Class B
WBGene00021496,Target Gene Class C
WBGene00021500,Target Gene Class B
WBGene00021503,Target Gene Class A1
WBGene00021519,Target Gene Class C
WBGene00021535,Target Gene Class B
WBGene00021583,Target Gene Class A2
WBGene00021585,Target Gene Class C
WBGene00021586,Target Gene Class A1
WBGene00021587,Target Gene Class A1
WBGene00021589,Target Gene Class C
WBGene00021590,Target Gene Class B
WBGene00021602,Target Gene Class B
WBGene00021635,Target Gene Class B
WBGene00021768,Target Gene Class B
WBGene00021772,Target Gene Class A1
WBGene00021814,Target Gene Class A2
WBGene00021820,Target Gene Class B
WBGene00021852,Target Gene Class A1
WBGene00021860,Target Gene Class A2
WBGene00021872,Target Gene Class A1
WBGene00021879,Target Gene Class A2
WBGene00022061,Target Gene Class A1
WBGene00022178,Target Gene Class B
WBGene00022181,Target Gene Class A2
WBGene00022200,Target Gene Class A2
WBGene00022203,Target Gene Class C
WBGene00022246,Target Gene Class A2
WBGene00022261,Target Gene Class A2
WBGene00022275,Target Gene Class B
WBGene00022276,Target Gene Class A1
WBGene00022326,Target Gene Class B
WBGene00022337,Target Gene Class A2
WBGene00022345,Target Gene Class A2
WBGene00022346,Target Gene Class A2
WBGene00022382,Target Gene Class B
WBGene00022411,Target Gene Class A1
WBGene00022413,Target Gene Class A2
WBGene00022487,Target Gene Class A1
WBGene00022497,Target Gene Class B
WBGene00022505,Target Gene Class C
WBGene00022515,Target Gene Class A1
WBGene00022562,Target Gene Class A2
WBGene00022571,Target Gene Class A1
WBGene00022597,Target Gene Class A1
WBGene00022610,Target Gene Class A2
WBGene00022615,Target Gene Class C
WBGene00022642,Target Gene Class A1
WBGene00022643,Target Gene Class A1
WBGene00022644,Target Gene Class B
WBGene00022721,Target Gene Class B
WBGene00022736,Target Gene Class C
WBGene00022782,Target Gene Class C
WBGene00022816,Target Gene Class A1
WBGene00022830,Target Gene Class B
WBGene00022868,Target Gene Class A1
WBGene00022870,Target Gene Class A1
WBGene00023423,Target Gene Class C
WBGene00023432,Target Gene Class A2
WBGene00023485,Target Gene Class A2
WBGene00043983,Target Gene Class A2
WBGene00044045,Target Gene Class A1
WBGene00044107,Target Gene Class A2
WBGene00044206,Target Gene Class A1
WBGene00044280,Target Gene Class C
WBGene00044291,Target Gene Class A1
WBGene00044296,Target Gene Class A1
WBGene00044381,Target Gene Class A1
WBGene00044382,Target Gene Class A1
WBGene00044403,Target Gene Class A2
WBGene00044421,Target Gene Class A1
WBGene00044455,Target Gene Class A1
WBGene00044457,Target Gene Class A1
WBGene00044458,Target Gene Class B
WBGene00044469,Target Gene Class A1
WBGene00044481,Target Gene Class A1
WBGene00044485,Target Gene Class A1
WBGene00044488,Target Gene Class A1
WBGene00044500,Target Gene Class C
WBGene00044611,Target Gene Class C
WBGene00044672,Target Gene Class B
WBGene00044696,Target Gene Class A1
WBGene00044707,Target Gene Class B
WBGene00044761,Target Gene Class A2
WBGene00044770,Target Gene Class B
WBGene00044776,Target Gene Class A2
WBGene00044792,Target Gene Class A1
WBGene00044807,Target Gene Class A1
WBGene00044990,Target Gene Class A1
WBGene00045013,Target Gene Class A2
WBGene00045048,Target Gene Class C
WBGene00045252,Target Gene Class A1
WBGene00045305,Target Gene Class C
WBGene00045365,Target Gene Class A1
WBGene00045397,Target Gene Class A2
WBGene00045455,Target Gene Class A1
WBGene00045457,Target Gene Class B
WBGene00050899,Target Gene Class A1
WBGene00050967,Target Gene Class A1
WBGene00077757,Target Gene Class A1
WBGene00077783,Target Gene Class A1
WBGene00077786,Target Gene Class A1
WBGene00185092,Target Gene Class A1
WBGene00189950,Target Gene Class A1
WBGene00194687,Target Gene Class A2
WBGene00194689,Target Gene Class B
WBGene00194713,Target Gene Class C
WBGene00194742,Target Gene Class A1
WBGene00194815,Target Gene Class A2
WBGene00194848,Target Gene Class A1
WBGene00195077,Target Gene Class B
WBGene00195145,Target Gene Class A2
WBGene00202511,Target Gene Class B
WBGene00206354,Target Gene Class B
WBGene00206381,Target Gene Class B
WBGene00206413,Target Gene Class A1
WBGene00219216,Target Gene Class B
WBGene00219283,Target Gene Class A1
WBGene00219316,Target Gene Class A1
WBGene00219376,Target Gene Class A1
WBGene00235133,Target Gene Class A2
WBGene00235352,Target Gene Class A2
