WBGeneID,SYMBOL,elt2_detected_in_L1,dineen_set,bound_class,Embryo_Specific,Larval,Increasing,L3_High,Not_Changing,Not_Bound
WBGene00016631,C44B7.11,Indirect,SET3,NA,0,0,1,0,0,0
WBGene00016632,C44B7.12,Indirect,SET2,NA,0,0,1,0,0,0
WBGene00016641,C44C1.1,Indirect,SET6,NA,0,0,0,0,0,1
WBGene00016669,ilys-2,Indirect,SET6,NA,0,0,0,0,0,1
WBGene00016671,C45G7.4,Indirect,SET5,NA,0,0,0,0,0,1
WBGene00016684,nlp-43,Indirect,SET6,NA,0,0,0,0,0,1
WBGene00016701,dsb-3,Indirect,SET2,NA,0,0,0,0,0,1
WBGene00016702,C46A5.6,Indirect,SET2,NA,0,0,0,0,0,1
WBGene00016705,C46C11.2,Direct,SET6,ClassA,0,1,1,0,0,0
WBGene00016714,C46F2.1,Indirect,SET6,NA,0,1,2,0,0,0
WBGene00016717,math-22,Indirect,SET4,NA,0,0,1,0,0,0
WBGene00016719,math-24,Indirect,SET6,NA,0,0,0,1,0,0
WBGene00016751,C48E7.6,Indirect,SET6,NA,0,0,0,0,0,1
WBGene00016755,C49A9.1,Indirect,SET6,NA,0,0,1,0,0,0
WBGene00016756,C49A9.2,Indirect,SET6,NA,0,0,1,0,0,0
WBGene00016757,C49A9.3,Direct,SET6,ClassB,0,1,0,0,0,0
WBGene00016758,C49A9.4,Direct,SET6,ClassA,0,0,1,0,0,0
WBGene00016759,C49A9.5,Direct,SET2,ClassD,0,0,1,0,0,0
WBGene00016783,irg-2,Indirect,SET2,NA,0,0,0,0,0,1
WBGene00016785,C49G7.13,Indirect,SET1,NA,0,0,0,0,0,1
WBGene00016785,C49G7.7,Indirect,SET1,NA,0,0,0,0,0,1
WBGene00016788,C49G7.10,Indirect,SET2,NA,0,0,1,1,0,0
WBGene00016799,C50C3.1,Indirect,SET2,NA,0,0,0,0,0,1
WBGene00016805,C50D2.1,Indirect,SET6,NA,0,1,0,0,0,0
WBGene00016845,C50F7.5,Direct,SET3,ClassB,0,1,0,1,0,0
WBGene00016865,ets-9,Indirect,SET3,NA,0,0,1,0,0,0
WBGene00016870,ets-10,Indirect,SET2,NA,0,0,0,0,0,1
WBGene00016881,C52E2.2,Indirect,SET5,NA,0,0,0,0,0,1
WBGene00016883,C52E2.4,Direct,SET4,ClassB,0,1,1,0,0,0
WBGene00016884,C52E2.5,Indirect,SET4,NA,0,1,0,0,0,0
WBGene00016886,fbxb-96,Indirect,SET1,NA,0,0,0,0,0,1
WBGene00016888,C52E12.1,Direct,SET2,ClassD,0,0,3,0,0,0
WBGene00016894,C53B7.3,Indirect,SET1,NA,0,0,0,0,0,1
WBGene00016900,C53C11.2,Indirect,SET6,NA,0,0,0,0,0,1
WBGene00016906,C53D5.5,Indirect,SET6,NA,0,0,0,1,0,0
WBGene00016912,clec-86,Direct,SET4,ClassA,0,1,0,0,0,0
WBGene00016919,C54E4.4,Indirect,SET1,NA,0,0,0,1,0,0
WBGene00016930,madf-6,Indirect,SET2,NA,0,0,0,0,0,1
WBGene00016934,mboa-3,Direct,SET2,ClassC,0,1,1,1,0,0
WBGene00016939,C55B6.1,Direct,SET3,ClassB,0,1,0,0,0,0
WBGene00016947,C55B7.11,Indirect,SET2,NA,0,0,0,0,0,1
WBGene00016953,C55C3.3,Indirect,SET2,NA,0,0,0,0,0,1
WBGene00016958,ilys-4,Indirect,SET3,NA,0,0,0,0,0,1
WBGene00016976,C56E10.3,Direct,SET2,ClassD,0,1,2,0,0,0
WBGene00016987,CC8.2,Direct,SET1,ClassD,0,1,1,1,0,0
WBGene00016993,CD4.8,Indirect,SET2,NA,0,0,0,0,0,1
WBGene00016997,cebp-1,Direct,SET2,ClassD,0,0,1,0,0,0
WBGene00016998,D1005.4,Indirect,SET4,NA,0,0,0,0,0,1
WBGene00017020,D1014.7,Indirect,SET6,NA,0,0,0,0,0,1
WBGene00017021,D1022.2,Indirect,SET6,NA,0,0,0,0,0,1
WBGene00017023,D1022.4,Indirect,SET6,NA,0,0,0,1,0,0
WBGene00017027,D1044.1,Direct,SET6,ClassA,0,1,0,0,0,0
WBGene00017032,D1044.7,Indirect,SET2,NA,0,0,0,0,0,1
WBGene00017060,D2063.1,Indirect,SET2,NA,0,0,0,0,0,1
WBGene00017071,aagr-1,Direct,SET6,ClassA,0,1,3,1,0,0
WBGene00017091,ttr-40,Indirect,SET6,NA,0,0,1,0,0,0
WBGene00017092,E02C12.6,Indirect,SET6,NA,0,0,0,0,0,1
WBGene00017093,E02C12.8,Direct,SET6,ClassA,0,1,0,0,0,0
WBGene00017100,E02H9.2,Indirect,SET6,NA,0,0,0,0,0,1
WBGene00017102,E02H9.4,Indirect,SET6,NA,0,0,0,0,0,1
WBGene00017103,klo-2,Indirect,SET6,NA,0,0,0,0,0,1
WBGene00017123,maoc-1,Indirect,SET6,NA,0,0,0,1,0,0
WBGene00017131,E04F6.15,Indirect,SET6,NA,0,0,0,0,0,1
WBGene00017133,EEED8.2,Indirect,SET1,NA,0,0,0,1,1,0
WBGene00017134,EEED8.3,Indirect,SET2,NA,0,0,0,0,0,1
WBGene00017141,EEED8.13,Indirect,SET2,NA,0,0,0,0,0,1
WBGene00017142,EEED8.14,Indirect,SET2,NA,0,0,0,0,0,1
WBGene00017143,EEED8.15,Indirect,SET3,NA,0,0,0,0,0,1
WBGene00017181,F02E11.3,Indirect,SET2,NA,0,0,0,0,0,1
WBGene00017194,F07C3.3,Indirect,SET2,NA,0,0,0,0,0,1
WBGene00017197,F07C3.9,Indirect,SET2,NA,0,0,0,0,0,1
WBGene00017198,nhr-36,Indirect,SET4,NA,0,0,0,0,0,1
WBGene00017214,F07E5.9,Indirect,SET3,NA,0,0,0,0,0,1
WBGene00017219,F07F6.7,Indirect,SET2,NA,0,1,0,0,0,0
WBGene00017226,fbxa-53,Indirect,SET6,NA,0,1,0,0,0,0
WBGene00017241,pcyt-1,Direct,SET2,ClassD,0,0,1,2,0,0
WBGene00017246,F08D12.2,Indirect,SET2,NA,0,0,0,0,0,1
WBGene00017247,F08D12.3,Indirect,SET2,NA,0,0,0,0,0,1
WBGene00017257,F08F1.3,Direct,SET6,ClassB,0,0,0,1,0,0
WBGene00017258,F08F1.4,Indirect,SET2,NA,0,0,0,0,0,1
WBGene00017265,snpc-1.3,Indirect,SET1,NA,0,0,0,0,0,1
WBGene00017282,algn-2,Indirect,SET3,NA,0,0,1,0,0,0
WBGene00017291,F09E5.14,Direct,SET6,ClassA,0,0,0,1,0,0
WBGene00017302,F09F7.5,Direct,SET2,ClassC,0,0,2,0,0,0
WBGene00017306,F09F9.1,Indirect,SET2,NA,0,0,1,0,0,0
WBGene00017310,F09G2.1,Indirect,SET3,NA,0,2,0,0,0,0
WBGene00017315,ugt-36,Indirect,SET6,NA,0,0,0,0,0,1
WBGene00017322,clec-160,Indirect,SET6,NA,0,0,0,0,0,1
WBGene00017327,F10C1.8,Indirect,SET3,NA,0,0,1,0,0,0
WBGene00017332,ugt-37,Direct,SET6,ClassA,0,1,0,1,0,0
WBGene00017334,F10D2.8,Direct,SET2,ClassD,0,0,1,0,0,0
WBGene00017335,F10D2.10,Indirect,SET2,NA,0,0,0,0,0,1
WBGene00017336,ugt-41,Indirect,SET1,NA,0,0,1,0,0,0
WBGene00017339,F10D7.2,Indirect,SET1,NA,0,0,0,1,0,0
WBGene00017344,F10E7.2,Indirect,SET1,NA,0,0,0,0,0,1
WBGene00017361,F10E9.12,Indirect,SET6,NA,0,0,1,0,0,0
WBGene00017364,clec-7,Indirect,SET6,NA,0,0,0,0,0,1
WBGene00017367,nhr-263,Indirect,SET6,NA,0,0,0,0,0,1
WBGene00017369,F10G7.5,Direct,SET6,ClassA,0,1,0,1,0,0
WBGene00017378,F11C7.6,Indirect,SET1,NA,0,0,0,0,0,1
WBGene00017398,slc-17.6,Direct,SET3,ClassB,0,0,4,0,0,0
WBGene00017411,F13A2.2,Indirect,SET2,NA,0,0,0,0,0,1
WBGene00017417,F13B6.2,Indirect,SET2,NA,0,0,0,0,0,1
WBGene00017418,F13B6.3,Indirect,SET1,NA,0,0,0,0,0,1
WBGene00017424,F13C5.3,Indirect,SET6,NA,0,0,1,0,0,0
WBGene00017427,acp-5,Direct,SET4,ClassB,0,0,1,0,0,0
WBGene00017434,F13H8.1,Direct,SET3,ClassB,0,1,1,0,0,0
WBGene00017436,F13H8.3,Indirect,SET1,NA,0,0,0,0,0,1
WBGene00017437,nmgp-1,Indirect,SET3,NA,0,1,0,0,0,0
WBGene00017443,F13H8.11,Direct,SET3,ClassB,0,1,0,0,0,0
WBGene00017448,F14B8.6,Direct,SET2,ClassC,0,0,1,0,0,0
WBGene00017449,otpl-3,Direct,SET2,ClassC,0,1,1,0,0,0
WBGene00017450,bath-27,Indirect,SET2,NA,0,0,0,0,0,1
WBGene00017451,lido-14,Indirect,SET2,NA,0,0,0,0,0,1
WBGene00017452,bath-29,Indirect,SET2,NA,0,0,0,0,0,1
WBGene00017454,irld-5,Indirect,SET6,NA,0,0,0,0,0,1
WBGene00017456,F14D2.8,Indirect,SET2,NA,0,0,0,0,0,1
WBGene00017461,bath-28,Indirect,SET2,NA,0,0,0,0,0,1
WBGene00017462,F14D2.14,Indirect,SET2,NA,0,0,0,0,0,1
WBGene00017466,F14F9.3,Indirect,SET2,NA,0,0,0,0,0,1
WBGene00017467,F14F9.4,Indirect,SET2,NA,0,0,0,0,0,1
WBGene00017470,F14H12.2,Indirect,SET6,NA,0,0,0,0,0,1
WBGene00017471,F14H12.3,Indirect,SET2,NA,0,1,0,0,0,0
WBGene00017478,cest-26,Indirect,SET2,NA,0,0,0,0,0,1
WBGene00017482,set-9,Indirect,SET2,NA,0,0,0,0,0,1
WBGene00017484,F15E6.3,Indirect,SET5,NA,0,0,0,0,0,1
WBGene00017498,pud-4,Direct,SET6,ClassA,0,0,1,0,0,0
WBGene00017501,pud-3,Direct,SET5,ClassB,0,1,0,0,0,0
WBGene00017506,F16B4.4,Indirect,SET6,NA,0,0,0,0,0,1
WBGene00017514,F16F9.3,Indirect,SET6,NA,0,0,0,0,0,1
WBGene00017515,F16F9.4,Direct,SET6,ClassA,0,0,1,0,0,0
WBGene00017517,F16G10.2,Indirect,SET3,NA,0,0,0,0,0,1
WBGene00017518,F16G10.3,Indirect,SET3,NA,0,0,0,0,0,1
WBGene00017521,F16G10.6,Indirect,SET3,NA,0,0,0,0,0,1
WBGene00017522,F16G10.7,Direct,SET3,ClassC,0,0,1,0,0,0
WBGene00017523,F16G10.8,Indirect,SET3,NA,0,0,0,0,0,1
WBGene00017529,F16G10.15,Indirect,SET3,NA,0,0,0,0,0,1
WBGene00017530,F16H11.1,Indirect,SET2,NA,0,0,1,1,0,0
WBGene00017537,F17A9.5,Indirect,SET6,NA,0,0,0,1,0,0
WBGene00017548,F18A1.7,Indirect,SET1,NA,0,0,0,0,0,1
WBGene00017549,pid-1,Indirect,SET2,NA,0,0,0,0,0,1
WBGene00017556,F18A12.7,Indirect,SET6,NA,0,0,0,0,0,1
WBGene00017570,F18E9.4,Indirect,SET2,NA,0,0,0,0,0,1
WBGene00017574,pxmp-4,Direct,SET6,ClassA,0,0,1,0,0,0
WBGene00017578,drl-1,Indirect,SET6,NA,0,0,0,2,0,0
WBGene00017592,F19C7.2,Direct,SET3,ClassB,0,0,1,0,0,0
WBGene00017600,ttr-10,Indirect,SET6,NA,0,0,0,0,0,1
WBGene00017612,F19G12.4,Direct,SET6,ClassA,0,0,1,0,0,0
WBGene00017621,F20A1.10,Indirect,SET6,NA,0,0,0,0,0,1
WBGene00017625,cgt-2,Direct,SET6,ClassB,0,1,2,0,0,0
WBGene00017641,csr-1,Indirect,SET2,NA,0,0,0,1,0,0
WBGene00017651,F21A9.2,Direct,SET3,ClassC,0,0,1,0,0,0
WBGene00017660,F21C10.11,Indirect,SET6,NA,0,0,0,0,0,1
WBGene00017666,F21E9.2,Indirect,SET2,NA,0,0,0,0,0,1
WBGene00017667,ttr-37,Direct,SET3,ClassB,0,3,1,0,0,0
WBGene00017673,icmt-1,Indirect,SET1,NA,0,0,0,0,0,1
WBGene00017674,F21F3.4,Indirect,SET2,NA,0,0,0,0,0,1
WBGene00017678,asp-12,Direct,SET3,ClassC,0,1,0,0,0,0
WBGene00017679,F21F8.5,Indirect,SET3,NA,0,0,0,0,0,1
WBGene00017687,ets-4,Direct,SET3,ClassB,0,1,3,0,0,0
WBGene00017691,ilys-5,Direct,SET6,ClassA,0,1,3,0,0,0
WBGene00017696,polk-1,Indirect,SET2,NA,0,0,0,0,0,1
WBGene00017703,F22E5.1,Indirect,SET2,NA,0,0,0,0,0,1
WBGene00017705,F22E5.6,Indirect,SET2,NA,0,0,0,0,0,1
WBGene00017717,F22F4.4,Indirect,SET6,NA,0,0,0,0,0,1
WBGene00017724,F22F7.7,Indirect,SET1,NA,0,0,2,1,0,0
WBGene00017726,F22H10.2,Direct,SET2,ClassD,0,0,1,1,0,0
WBGene00017733,ubxn-1,Indirect,SET2,NA,0,0,0,0,0,1
WBGene00017738,tipn-1,Indirect,SET2,NA,0,0,0,0,0,1
WBGene00017741,F23C8.13,Indirect,SET6,NA,0,1,0,0,0,0
WBGene00017755,zip-8,Indirect,SET2,NA,0,0,0,0,0,1
WBGene00017760,F23H11.4,Indirect,SET2,NA,0,0,1,0,0,0
WBGene00017761,F23H11.6,Indirect,SET2,NA,0,0,0,0,0,1
WBGene00017764,F25A2.1,Indirect,SET2,NA,0,1,0,0,0,0
WBGene00017765,gcst-1,Direct,SET6,ClassA,0,0,0,1,0,0
WBGene00017771,F25B4.8,Direct,SET5,ClassA,0,0,4,0,0,0
WBGene00017774,nop-1,Indirect,SET2,NA,0,1,0,0,0,0
WBGene00017835,F26F12.4,Indirect,SET1,NA,0,0,0,0,0,1
WBGene00017837,F26G1.1,Direct,SET2,ClassC,1,0,0,0,0,0
WBGene00017839,F26G1.3,Indirect,SET2,NA,0,0,1,0,0,0
WBGene00017865,F27D9.7,Indirect,SET2,NA,0,0,1,0,0,0
WBGene00017867,slc-28.1,Indirect,SET6,NA,0,0,0,0,0,1
WBGene00017879,acd-4,Indirect,SET1,NA,0,0,0,0,0,1
WBGene00017881,asp-13,Direct,SET6,ClassA,0,0,3,1,0,0
WBGene00017892,F28B4.3,Direct,SET3,ClassC,0,2,3,0,0,0
WBGene00017905,F28F5.6,Direct,SET4,ClassB,0,1,1,0,0,0
WBGene00017907,F28F9.3,Indirect,SET6,NA,0,0,0,1,0,0
WBGene00017936,zipt-2.2,Indirect,SET6,NA,0,0,0,0,0,1
WBGene00017948,mth-1,Indirect,SET6,NA,0,1,0,0,0,0
WBGene00017957,F31F4.1,Direct,SET3,ClassB,0,0,1,0,0,0
WBGene00017969,ctsa-3.1,Direct,SET3,ClassB,0,1,0,0,0,0
WBGene00017970,F32A5.4,Indirect,SET1,NA,0,0,0,0,0,1
WBGene00017971,F32A5.8,Direct,SET2,ClassC,0,0,1,0,0,0
WBGene00017985,neg-1,Indirect,SET2,NA,0,0,0,0,0,1
WBGene00017986,F32D1.7,Indirect,SET2,NA,0,0,0,0,0,1
WBGene00018010,F33E11.2,Indirect,SET2,NA,0,0,0,0,0,1
WBGene00018024,F35A5.1,Direct,SET1,ClassD,0,1,1,0,0,0
WBGene00018026,F35A5.4,Indirect,SET2,NA,0,0,0,0,0,1
WBGene00018035,sek-4,Indirect,SET3,NA,0,0,1,0,0,0
WBGene00018036,F35C8.5,Direct,SET6,ClassB,0,1,1,0,0,0
WBGene00018051,che-10,Indirect,SET6,NA,0,0,0,0,0,1
WBGene00018052,F35F10.1,Indirect,SET6,NA,0,0,0,0,0,1
WBGene00018099,ztf-28,Indirect,SET2,NA,0,0,0,0,0,1
WBGene00018100,math-26,Indirect,SET3,NA,0,1,1,0,0,0
WBGene00018101,math-27,Indirect,SET3,NA,0,0,0,0,0,1
WBGene00018102,math-28,Indirect,SET2,NA,0,0,1,0,0,0
WBGene00018103,F36H5.4,Indirect,SET6,NA,0,0,0,0,0,1
WBGene00018104,fbxb-53,Indirect,SET6,NA,0,0,0,0,0,1
WBGene00018111,F36H9.2,Indirect,SET6,NA,0,0,0,0,0,1
WBGene00018115,F36H9.7,Indirect,SET6,NA,0,0,1,0,0,0
WBGene00018118,F36H12.2,Indirect,SET2,NA,0,0,0,0,0,1
WBGene00018130,F36H12.17,Indirect,SET1,NA,1,0,0,0,0,0
WBGene00018138,folt-2,Direct,SET3,ClassB,0,1,2,0,0,0
WBGene00018145,F37C4.5,Indirect,SET2,NA,0,0,1,0,0,0
WBGene00018146,F37C4.6,Direct,SET6,ClassA,0,0,2,0,0,0
WBGene00018148,F37C4.8,Indirect,SET6,NA,0,0,0,0,0,1
WBGene00018152,acs-4,Direct,SET2,ClassC,0,0,1,1,0,0
WBGene00018153,F37C12.10,Indirect,SET6,NA,0,0,0,0,0,1
WBGene00018168,irld-7,Indirect,SET1,NA,0,0,0,0,0,1
WBGene00018174,F38B6.4,Indirect,SET3,NA,0,0,1,0,0,0
WBGene00018175,F38B6.6,Indirect,SET6,NA,0,0,0,0,0,1
WBGene00018195,btb-16,Direct,SET6,ClassA,0,1,0,0,0,0
WBGene00018200,btb-17,Direct,SET6,ClassA,0,0,1,0,0,0
WBGene00018207,F39G3.2,Direct,SET2,ClassC,0,0,0,1,0,0
WBGene00018213,F39H12.2,Indirect,SET6,NA,0,0,0,1,0,0
WBGene00018223,bath-13,Indirect,SET2,NA,0,0,0,0,0,1
WBGene00018226,F40B5.2,Direct,SET2,ClassC,0,0,0,1,0,0
WBGene00018232,F40E3.5,Indirect,SET6,NA,0,0,1,0,0,0
WBGene00018233,F40E3.6,Indirect,SET6,NA,0,0,0,0,0,1
WBGene00018241,F40G9.5,Direct,SET4,ClassB,0,0,1,1,0,0
WBGene00018250,F40H3.2,Indirect,SET6,NA,0,0,0,0,0,1
WBGene00018255,F40H6.5,Indirect,SET6,NA,0,0,0,0,0,1
WBGene00018274,F41C3.8,Direct,SET1,ClassD,0,2,0,0,0,0
WBGene00018280,F41C6.7,Direct,SET3,ClassC,0,0,2,0,0,0
WBGene00018283,sulp-3,Direct,SET2,ClassD,0,0,0,1,0,0
WBGene00018295,oac-29,Indirect,SET6,NA,0,0,0,0,0,1
WBGene00018298,nlp-50,Indirect,SET6,NA,0,0,0,0,0,1
WBGene00018303,F41G3.10,Indirect,SET2,NA,0,0,0,0,0,1
WBGene00018310,F41G4.7,Indirect,SET2,NA,0,0,0,0,0,1
WBGene00018314,F41H10.1,Direct,SET1,ClassD,0,0,1,0,0,0
WBGene00018318,F41H10.5,Indirect,SET2,NA,0,0,0,0,0,1
WBGene00018342,F42A10.6,Indirect,SET6,NA,0,1,0,0,0,0
WBGene00018343,F42A10.7,Direct,SET4,ClassB,0,1,1,0,0,0
WBGene00018345,F42C5.3,Indirect,SET3,NA,0,0,0,0,0,1
WBGene00018347,F42C5.5,Indirect,SET6,NA,0,0,0,0,0,1
WBGene00018350,ifo-1,Direct,SET3,ClassB,0,0,2,1,0,0
WBGene00018351,F42G2.2,Indirect,SET3,NA,0,0,1,0,0,0
WBGene00018353,fbxa-182,Direct,SET3,ClassC,0,1,0,1,0,0
WBGene00018354,F42G2.5,Indirect,SET6,NA,0,0,0,0,0,1
WBGene00018360,irld-8,Indirect,SET1,NA,0,0,0,0,0,1
WBGene00018363,nlp-52,Indirect,SET6,NA,0,0,0,0,0,1
WBGene00018384,F43C11.7,Direct,SET6,ClassA,0,1,1,0,0,0
WBGene00018398,sptl-2,Direct,SET2,ClassC,0,3,1,0,0,0
WBGene00018403,F44A2.3,Indirect,SET6,NA,0,0,0,0,0,1
WBGene00018406,F44A2.7,Indirect,SET6,NA,0,1,0,0,0,0
WBGene00018435,btb-9,Direct,SET6,ClassA,0,0,1,0,0,0
WBGene00018466,F45E1.5,Direct,SET6,ClassA,0,0,0,1,0,0
WBGene00018468,cla-1,Indirect,SET6,NA,0,0,0,0,0,1
WBGene00018470,F45E4.5,Indirect,SET1,NA,0,0,0,0,0,1
WBGene00018472,nep-16,Indirect,SET1,NA,0,0,0,0,0,1
WBGene00018483,F45F2.11,Indirect,SET2,NA,0,0,0,1,0,0
WBGene00018492,hpo-26,Indirect,SET1,NA,0,1,0,0,0,0
WBGene00018538,marg-1,Indirect,SET1,NA,0,0,0,0,0,1
WBGene00018547,clec-78,Direct,SET2,ClassC,0,1,0,0,0,0
WBGene00018579,acs-16,Indirect,SET2,NA,0,0,0,0,0,1
WBGene00018594,aman-3,Indirect,SET2,NA,0,0,0,0,0,1
WBGene00018595,fbxa-145,Direct,SET2,ClassD,0,0,1,0,0,0
WBGene00018602,F48D6.4,Direct,SET6,ClassA,0,1,2,0,0,0
WBGene00018607,F48E3.8,Indirect,SET2,NA,0,0,1,0,0,0
WBGene00018619,F48G7.8,Indirect,SET3,NA,0,0,0,0,0,1
WBGene00018636,oef-1,Direct,SET2,ClassD,0,0,1,0,0,0
WBGene00018640,F49E10.2,Indirect,SET2,NA,0,0,0,0,0,1
