WBGeneID,SYMBOL,elt2_detected_in_L1,dineen_set,cluster.description,bound_class
WBGene00008201,C49C3.11,Indirect,SET2,Not_Bound,NA
WBGene00008202,clec-197,Indirect,SET3,Not_Bound,NA
WBGene00008220,C50B6.7,Direct,SET6,Increasing,ClassB
WBGene00008228,C50B8.6,Direct,SET1,Increasing,ClassD
WBGene00008228,C50B8.6,Direct,SET1,Increasing,ClassD
WBGene00008229,C50F4.1,Direct,SET3,Larval,ClassB
WBGene00008229,C50F4.1,Direct,SET3,Increasing,ClassB
WBGene00008230,pfk-1.2,Indirect,SET2,Not_Bound,NA
WBGene00008234,C50F4.9,Indirect,SET2,Larval,NA
WBGene00008235,C50F4.10,Indirect,SET2,Not_Bound,NA
WBGene00008237,nstp-10,Indirect,SET3,L3_High,NA
WBGene00008239,fshr-1,Direct,SET6,Larval,ClassB
WBGene00008239,fshr-1,Direct,SET6,Larval,ClassB
WBGene00008239,fshr-1,Direct,SET6,Increasing,ClassB
WBGene00008242,ceh-75,Indirect,SET1,Not_Bound,NA
WBGene00008246,C50H2.13,Direct,SET6,Increasing,ClassB
WBGene00008251,srsx-30,Direct,SET6,Increasing,ClassA
WBGene00008254,C51E3.9,Indirect,SET2,Not_Bound,NA
WBGene00008255,C51E3.10,Direct,SET2,Increasing,ClassC
WBGene00008256,glb-12,Indirect,SET6,Not_Bound,NA
WBGene00008265,kcnl-4,Direct,SET3,L3_High,ClassC
WBGene00008267,C53A5.9,Indirect,SET3,Not_Bound,NA
WBGene00008269,C53A5.11,Indirect,SET2,Not_Bound,NA
WBGene00008273,C53B4.3,Direct,SET3,Increasing,ClassB
WBGene00008274,C53B4.4,Indirect,SET2,Not_Bound,NA
WBGene00008284,C53D6.7,Indirect,SET6,Not_Bound,NA
WBGene00008296,cdr-2,Direct,SET3,Increasing,ClassC
WBGene00008300,C54D10.5,Indirect,SET6,Not_Bound,NA
WBGene00008301,pals-39,Indirect,SET4,Not_Bound,NA
WBGene00008302,pals-38,Indirect,SET3,Not_Bound,NA
WBGene00008304,C54D10.10,Indirect,SET1,Not_Bound,NA
WBGene00008319,C54G10.1,Direct,SET2,Increasing,ClassC
WBGene00008323,C55A1.6,Indirect,SET2,Not_Bound,NA
WBGene00008341,ttr-44,Direct,SET3,Increasing,ClassB
WBGene00008346,C56A3.8,Indirect,SET2,Not_Bound,NA
WBGene00008352,fbxa-6,Indirect,SET6,Increasing,NA
WBGene00008352,fbxa-6,Indirect,SET6,L3_High,NA
WBGene00008354,gcsh-1,Direct,SET6,Increasing,ClassA
WBGene00008356,nspc-20,Indirect,SET6,Not_Bound,NA
WBGene00008359,nspc-17,Direct,SET6,L3_High,ClassA
WBGene00008372,D1054.5,Direct,SET3,Increasing,ClassC
WBGene00008372,D1054.5,Direct,SET3,Larval,ClassC
WBGene00008385,D1081.7,Indirect,SET2,Not_Bound,NA
WBGene00008387,zhp-2,Indirect,SET2,Not_Bound,NA
WBGene00008399,D2005.4,Indirect,SET2,L3_High,NA
WBGene00008417,D2030.7,Indirect,SET2,Not_Bound,NA
WBGene00008422,D2045.2,Direct,SET2,Embryo_Specific,ClassD
WBGene00008425,D2045.8,Direct,SET6,Increasing,ClassA
WBGene00008435,glna-2,Indirect,SET6,Larval,NA
WBGene00008435,glna-2,Indirect,SET6,Increasing,NA
WBGene00008451,cest-3,Indirect,SET6,Larval,NA
WBGene00008451,cest-3,Indirect,SET6,Increasing,NA
WBGene00008475,oac-13,Indirect,SET2,Not_Bound,NA
WBGene00008476,E03H4.8,Indirect,SET2,Not_Bound,NA
WBGene00008477,clec-17,Direct,SET6,Increasing,ClassA
WBGene00008483,E04D5.4,Indirect,SET3,Increasing,NA
WBGene00008485,ugt-43,Direct,SET2,Increasing,ClassC
WBGene00008485,ugt-43,Direct,SET2,Larval,ClassC
WBGene00008485,ugt-43,Direct,SET2,Larval,ClassC
WBGene00008485,ugt-43,Direct,SET2,Increasing,ClassC
WBGene00008486,ugt-44,Direct,SET3,Larval,ClassC
WBGene00008486,ugt-44,Direct,SET3,Increasing,ClassC
WBGene00008490,F01D4.8,Indirect,SET6,Not_Bound,NA
WBGene00008491,bgnt-1.1,Indirect,SET6,Not_Bound,NA
WBGene00008492,F01D5.1,Direct,SET4,Larval,ClassB
WBGene00008495,F01D5.5,Direct,SET6,Larval,ClassA
WBGene00008495,F01D5.5,Direct,SET6,Increasing,ClassA
WBGene00008499,cyp-37A1,Direct,SET6,Increasing,ClassB
WBGene00008499,cyp-37A1,Direct,SET6,Increasing,ClassB
WBGene00008503,F01G4.4,Indirect,SET2,Not_Bound,NA
WBGene00008507,F01G10.4,Indirect,SET2,Not_Bound,NA
WBGene00008509,F01G10.6,Indirect,SET2,Not_Bound,NA
WBGene00008515,F02C12.1,Indirect,SET1,Increasing,NA
WBGene00008542,scav-6,Direct,SET6,Larval,ClassA
WBGene00008542,scav-6,Direct,SET6,Larval,ClassA
WBGene00008543,F07A5.4,Indirect,SET6,Not_Bound,NA
WBGene00008550,F07B10.4,Indirect,SET6,Not_Bound,NA
WBGene00008559,F07H5.8,Indirect,SET2,Not_Bound,NA
WBGene00008560,pho-13,Indirect,SET2,Larval,NA
WBGene00008567,acox-1.4,Indirect,SET6,Larval,NA
WBGene00008569,fbxa-101,Indirect,SET2,Not_Bound,NA
WBGene00008572,F08B12.4,Direct,SET2,L3_High,ClassD
WBGene00008572,F08B12.4,Direct,SET2,Increasing,ClassD
WBGene00008575,scl-24,Indirect,SET2,Not_Bound,NA
WBGene00008577,F08G2.5,Indirect,SET2,Larval,NA
WBGene00008580,dsb-1,Indirect,SET2,Not_Bound,NA
WBGene00008584,irg-4,Direct,SET6,Increasing,ClassA
WBGene00008593,clec-227,Indirect,SET6,Larval,NA
WBGene00008594,clec-57,Direct,SET6,Increasing,ClassA
WBGene00008594,clec-57,Direct,SET6,Larval,ClassA
WBGene00008595,clec-56,Indirect,SET3,Increasing,NA
WBGene00008595,clec-56,Indirect,SET3,Larval,NA
WBGene00008596,clec-54,Direct,SET6,Larval,ClassA
WBGene00008597,clec-55,Direct,SET6,Larval,ClassA
WBGene00008598,spin-3,Indirect,SET6,Larval,NA
WBGene00008599,F09A5.2,Direct,SET3,Larval,ClassC
WBGene00008599,F09A5.2,Direct,SET3,Larval,ClassC
WBGene00008602,oac-14,Direct,SET3,L3_High,ClassC
WBGene00008602,oac-14,Direct,SET3,Larval,ClassC
WBGene00008603,F09B9.4,Indirect,SET1,Not_Bound,NA
WBGene00008607,F09B12.3,Direct,SET6,Larval,ClassB
WBGene00008607,F09B12.3,Direct,SET6,Increasing,ClassB
WBGene00008616,fbxa-44,Indirect,SET1,Not_Bound,NA
WBGene00008625,scl-14,Indirect,SET2,Not_Bound,NA
WBGene00008628,ttr-21,Indirect,SET2,Not_Bound,NA
WBGene00008634,F10A3.4,Indirect,SET4,Larval,NA
WBGene00008634,F10A3.4,Indirect,SET4,Increasing,NA
WBGene00008642,ints-11,Indirect,SET2,Increasing,NA
WBGene00008644,F10C2.3,Indirect,SET2,Increasing,NA
WBGene00008654,pfas-1,Direct,SET4,Increasing,ClassB
WBGene00008669,acs-14,Direct,SET6,Larval,ClassA
WBGene00008669,acs-14,Direct,SET6,Increasing,ClassA
WBGene00008681,scrm-4,Indirect,SET2,Increasing,NA
WBGene00008692,scav-4,Direct,SET3,Increasing,ClassB
WBGene00008692,scav-4,Direct,SET3,Increasing,ClassB
WBGene00008692,scav-4,Direct,SET3,Larval,ClassB
WBGene00008707,F11E6.3,Indirect,SET6,Not_Bound,NA
WBGene00008709,F11E6.6,Indirect,SET4,Increasing,NA
WBGene00008711,F11E6.8,Indirect,SET2,Not_Bound,NA
WBGene00008712,F11E6.9,Indirect,SET6,Not_Bound,NA
WBGene00008726,F13A7.11,Direct,SET2,Increasing,ClassD
WBGene00008730,F13B12.2,Indirect,SET6,Increasing,NA
WBGene00008731,F13B12.3,Direct,SET3,Increasing,ClassB
WBGene00008731,F13B12.3,Direct,SET3,Increasing,ClassB
WBGene00008735,F13D2.1,Indirect,SET2,Not_Bound,NA
WBGene00008740,F13D12.5,Indirect,SET1,Not_Bound,NA
WBGene00008741,ctsa-1.2,Direct,SET6,Increasing,ClassB
WBGene00008741,ctsa-1.2,Direct,SET6,Increasing,ClassB
WBGene00008741,ctsa-1.2,Direct,SET6,Larval,ClassB
WBGene00008761,F13E9.12,Indirect,SET6,Not_Bound,NA
