WBGeneID,SYMBOL,elt2_detected_in_L1,dineen_set,cluster.description,bound_class
WBGene00009943,F52G2.3,Indirect,SET3,Not_Bound,NA
WBGene00009946,ogr-2,Indirect,SET2,Not_Bound,NA
WBGene00009956,F53B2.5,Indirect,SET2,Not_Bound,NA
WBGene00009957,F53B2.8,Direct,SET2,Increasing,ClassD
WBGene00009971,F53C11.1,Indirect,SET2,Larval,NA
WBGene00009984,F53F1.6,Indirect,SET2,Larval,NA
WBGene00009985,F53F4.1,Indirect,SET6,Not_Bound,NA
WBGene00010006,F53H2.3,Direct,SET1,L3_High,ClassD
WBGene00010006,F53H2.3,Direct,SET1,Larval,ClassD
WBGene00010006,F53H2.3,Direct,SET1,L3_High,ClassD
WBGene00010006,F53H2.3,Direct,SET1,Increasing,ClassD
